,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,621,13,2016-09-30T14:40:35Z,528.0,1.0,MIT License,transcranial/keras-js,82.0,18004.0,4875.0,7.0,115.0,2022-05-27T10:04:20Z,https://github.com/transcranial/keras-js,4875.0
1,1.0,131,13,2016-04-01T11:38:47Z,859.0,0.0,MIT License,Ramotion/folding-cell-android,7.0,26341.0,4871.0,5.0,72.0,2022-05-25T00:36:02Z,https://github.com/Ramotion/folding-cell-android,4871.0
2,1.0,369,94,2015-03-27T11:09:25Z,453.0,0.0,Other,react-ga/react-ga,141.0,1720.0,4900.0,4.0,328.0,2022-05-27T23:37:49Z,https://github.com/react-ga/react-ga,4900.0
3,1.0,164,38,2012-04-23T20:50:15Z,1121.0,0.0,MIT License,samvermette/SVPullToRefresh,155.0,960.0,4865.0,0.0,182.0,2022-05-27T23:56:17Z,https://github.com/samvermette/SVPullToRefresh,4865.0
4,1.0,36059,392,2012-03-21T12:25:18Z,1628.0,0.0,Other,hazelcast/hazelcast,1234.0,356499.0,4867.0,12.0,7474.0,2022-05-28T04:53:27Z,https://github.com/hazelcast/hazelcast,4867.0
5,1.0,9035,174,2010-04-21T19:03:10Z,915.0,0.0,Other,cinder/Cinder,382.0,426792.0,4868.0,0.0,921.0,2022-05-25T10:02:09Z,https://github.com/cinder/Cinder,4868.0
6,1.0,6,,2021-06-05T23:03:09Z,727.0,0.0,Not Found,peng-zhihui/XUAN,22.0,29357.0,4859.0,0.0,32.0,2022-05-27T19:58:55Z,https://github.com/peng-zhihui/XUAN,4859.0
7,1.0,201,26,2013-06-11T03:28:47Z,1868.0,0.0,Not Found,wklken/k-vim,34.0,436.0,4859.0,5.0,306.0,2022-05-27T12:10:29Z,https://github.com/wklken/k-vim,4859.0
8,1.0,4069,88,2020-05-20T15:45:28Z,521.0,0.0,Mozilla Public License 2.0,coqui-ai/TTS,40.0,131730.0,4919.0,18.0,327.0,2022-05-28T08:20:36Z,https://github.com/coqui-ai/TTS,4919.0
9,1.0,211,11,2021-08-09T02:22:03Z,1130.0,0.0,Not Found,0voice/Introduction-to-Golang,2.0,234379.0,4868.0,1.0,5.0,2022-05-28T06:51:12Z,https://github.com/0voice/Introduction-to-Golang,4868.0
