,allow_forking,commit_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count,contributor_count
40,1.0,377,2015-02-09T14:06:20Z,174.0,0.0,MIT License,IonicaBizau/git-stats,18.0,5611.0,5890.0,5.0,94.0,2022-05-25T10:44:45Z,https://github.com/IonicaBizau/git-stats,5890.0,26
41,1.0,1751,2012-09-20T18:13:49Z,1128.0,0.0,Apache License 2.0,ACRA/acra,2.0,10208.0,5862.0,4.0,591.0,2022-05-28T02:04:23Z,https://github.com/ACRA/acra,5862.0,58
42,1.0,207,2016-05-19T21:29:00Z,345.0,0.0,GNU Affero General Public License v3.0,decosoftware/deco-ide,102.0,407456.0,5859.0,0.0,159.0,2022-05-26T08:21:36Z,https://github.com/decosoftware/deco-ide,5859.0,17
43,1.0,278,2019-03-23T02:53:33Z,356.0,0.0,MIT License,goproxy/goproxy.cn,1.0,10150.0,5861.0,5.0,135.0,2022-05-27T18:01:53Z,https://github.com/goproxy/goproxy.cn,5861.0,5
44,1.0,852,2017-11-23T03:03:25Z,206.0,0.0,MIT License,ianstormtaylor/superstruct,65.0,5396.0,5917.0,7.0,228.0,2022-05-28T02:26:11Z,https://github.com/ianstormtaylor/superstruct,5917.0,52
45,1.0,975,2017-11-10T08:27:54Z,662.0,0.0,Not Found,alibaba/BizCharts,320.0,5605.0,5859.0,6.0,1315.0,2022-05-27T14:45:08Z,https://github.com/alibaba/BizCharts,5859.0,79
46,1.0,6365,2008-07-14T15:34:32Z,879.0,0.0,MIT License,sparklemotion/nokogiri,110.0,30203.0,5860.0,9.0,1788.0,2022-05-26T16:24:44Z,https://github.com/sparklemotion/nokogiri,5860.0,241
47,1.0,545,2013-12-23T11:02:52Z,162.0,0.0,Apache License 2.0,theatre-js/theatre,49.0,21235.0,5860.0,6.0,74.0,2022-05-28T04:48:05Z,https://github.com/theatre-js/theatre,5860.0,14
48,1.0,3230,2010-09-20T22:19:56Z,2192.0,1.0,MIT License,RobinHerbots/Inputmask,584.0,58501.0,5863.0,5.0,2391.0,2022-05-25T16:48:35Z,https://github.com/RobinHerbots/Inputmask,5863.0,106
49,1.0,21,2012-04-01T02:56:52Z,285.0,0.0,GNU General Public License v3.0,philipl/pifs,52.0,48.0,5884.0,0.0,58.0,2022-05-28T10:00:01Z,https://github.com/philipl/pifs,5884.0,3
