,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,120,3,2014-08-01T11:52:52Z,112.0,0.0,Other,truebit/xUnique,16.0,2119.0,1462.0,4.0,45.0,2022-05-09T17:58:33Z,https://github.com/truebit/xUnique,1462.0
1,1.0,66,6,2017-02-23T14:19:09Z,416.0,0.0,Not Found,longcw/yolo2-pytorch,86.0,4261.0,1466.0,5.0,115.0,2022-05-07T07:14:48Z,https://github.com/longcw/yolo2-pytorch,1466.0
2,1.0,12,7,2017-05-24T10:39:38Z,26.0,0.0,GNU General Public License v3.0,fossasia/mew,6.0,769.0,1468.0,0.0,9.0,2022-05-09T06:21:15Z,https://github.com/fossasia/mew,1468.0
3,1.0,778,20,2018-02-08T06:26:53Z,595.0,0.0,MIT License,blackholll/loonflow,10.0,32532.0,1465.0,5.0,301.0,2022-05-09T08:18:03Z,https://github.com/blackholll/loonflow,1465.0
4,1.0,872,29,2016-06-08T20:52:08Z,141.0,0.0,GNU General Public License v3.0,ansible-community/ara,85.0,17501.0,1475.0,9.0,246.0,2022-05-06T06:46:35Z,https://github.com/ansible-community/ara,1475.0
5,1.0,68,5,2019-08-23T07:57:48Z,191.0,0.0,GNU General Public License v3.0,ckiplab/ckiptagger,24.0,92.0,1466.0,0.0,34.0,2022-05-09T15:24:24Z,https://github.com/ckiplab/ckiptagger,1466.0
6,1.0,20,3,2018-08-09T14:02:41Z,267.0,0.0,Other,facebookresearch/UnsupervisedMT,33.0,279.0,1457.0,0.0,98.0,2022-05-04T13:41:06Z,https://github.com/facebookresearch/UnsupervisedMT,1457.0
7,1.0,324,,2016-05-08T07:45:57Z,495.0,0.0,Other,ahangchen/GDLnotes,7.0,10708.0,1457.0,3.0,11.0,2022-05-02T10:25:09Z,https://github.com/ahangchen/GDLnotes,1457.0
8,1.0,929,22,2013-09-24T11:09:25Z,353.0,1.0,"BSD 3-Clause ""New"" or ""Revised"" License",waveform80/picamera,262.0,64027.0,1466.0,3.0,645.0,2022-05-05T08:25:08Z,https://github.com/waveform80/picamera,1466.0
9,1.0,1069,42,2014-05-02T20:33:50Z,219.0,0.0,Other,Parsely/streamparse,70.0,5217.0,1458.0,3.0,325.0,2022-04-23T06:57:49Z,https://github.com/Parsely/streamparse,1458.0
10,1.0,452,13,2011-06-18T18:48:46Z,202.0,0.0,Not Found,carmaa/inception,23.0,3165.0,1465.0,0.0,124.0,2022-05-02T16:21:28Z,https://github.com/carmaa/inception,1465.0
11,1.0,1513,35,2010-08-12T14:29:22Z,208.0,1.0,Apache License 2.0,jdf/processing.py,58.0,294766.0,1467.0,0.0,235.0,2022-05-08T16:26:15Z,https://github.com/jdf/processing.py,1467.0
12,1.0,3412,20,2017-08-26T04:11:53Z,171.0,0.0,Other,dashingsoft/pyarmor,7.0,4337.0,1456.0,5.0,714.0,2022-05-09T11:02:04Z,https://github.com/dashingsoft/pyarmor,1456.0
13,1.0,6621,144,2014-01-21T22:22:28Z,602.0,1.0,Other,evennia/evennia,115.0,338130.0,1460.0,19.0,1691.0,2022-05-09T15:00:25Z,https://github.com/evennia/evennia,1460.0
14,1.0,138,7,2016-09-29T08:56:12Z,419.0,0.0,MIT License,NetEaseGame/git-webhook,14.0,2045.0,1463.0,6.0,49.0,2022-05-04T08:41:35Z,https://github.com/NetEaseGame/git-webhook,1463.0
15,1.0,108,5,2019-05-11T19:35:56Z,200.0,0.0,Apache License 2.0,rwightman/gen-efficientnet-pytorch,2.0,200.0,1466.0,8.0,53.0,2022-05-09T14:34:05Z,https://github.com/rwightman/gen-efficientnet-pytorch,1466.0
16,1.0,901,69,2021-01-28T18:47:16Z,166.0,0.0,Apache License 2.0,PyTorchLightning/lightning-flash,33.0,12703.0,1452.0,13.0,450.0,2022-05-09T15:39:30Z,https://github.com/PyTorchLightning/lightning-flash,1452.0
17,1.0,16,2,2017-02-02T02:55:58Z,605.0,0.0,Apache License 2.0,hexiangnan/neural_collaborative_filtering,51.0,24377.0,1480.0,3.0,70.0,2022-05-08T06:09:09Z,https://github.com/hexiangnan/neural_collaborative_filtering,1480.0
18,1.0,654,82,2011-03-29T15:28:56Z,157.0,1.0,Other,ekalinin/nodeenv,36.0,646.0,1461.0,4.0,165.0,2022-05-09T00:15:20Z,https://github.com/ekalinin/nodeenv,1461.0
19,1.0,410,65,2020-07-31T19:58:25Z,134.0,1.0,Creative Commons Zero v1.0 Universal,webrtc-for-the-curious/webrtc-for-the-curious,21.0,105220.0,1454.0,3.0,55.0,2022-05-05T22:44:32Z,https://github.com/webrtc-for-the-curious/webrtc-for-the-curious,1454.0
20,1.0,5358,113,2017-11-20T15:20:49Z,41.0,0.0,Other,fossasia/open-event-legacy,47.0,37014.0,1459.0,0.0,0.0,2022-05-09T06:21:22Z,https://github.com/fossasia/open-event-legacy,1459.0
21,1.0,20,6,2015-06-12T02:05:39Z,79.0,0.0,Not Found,fraser-hemp/gradify,15.0,325.0,1451.0,0.0,12.0,2022-03-23T16:15:34Z,https://github.com/fraser-hemp/gradify,1451.0
22,1.0,40,4,2017-08-05T13:20:54Z,131.0,0.0,MIT License,jamesob/tinychain,10.0,52.0,1449.0,0.0,9.0,2022-05-06T18:00:38Z,https://github.com/jamesob/tinychain,1449.0
23,1.0,2623,36,2013-05-10T21:48:14Z,262.0,0.0,GNU General Public License v2.0,andikleen/pmu-tools,153.0,4268.0,1453.0,0.0,362.0,2022-05-08T02:12:17Z,https://github.com/andikleen/pmu-tools,1453.0
24,1.0,12,3,2020-07-10T10:58:19Z,238.0,0.0,Other,facebookresearch/TransCoder,15.0,4149.0,1459.0,0.0,46.0,2022-05-09T16:42:46Z,https://github.com/facebookresearch/TransCoder,1459.0
25,1.0,6,,2022-04-27T11:15:48Z,197.0,0.0,Not Found,BandaiNamcoResearchInc/Bandai-Namco-Research-Motiondataset,3.0,308989.0,1556.0,0.0,3.0,2022-05-09T11:23:33Z,https://github.com/BandaiNamcoResearchInc/Bandai-Namco-Research-Motiondataset,1556.0
26,1.0,1021,135,2012-05-07T21:29:41Z,495.0,0.0,Apache License 2.0,graphite-project/carbon,7.0,1876.0,1448.0,7.0,437.0,2022-05-04T15:11:37Z,https://github.com/graphite-project/carbon,1448.0
27,1.0,184,25,2014-03-06T20:46:57Z,119.0,0.0,MIT License,dfunckt/django-rules,33.0,311.0,1474.0,6.0,104.0,2022-05-09T19:02:01Z,https://github.com/dfunckt/django-rules,1474.0
28,1.0,27397,268,2015-01-07T02:51:48Z,313.0,0.0,GNU General Public License v2.0,gramps-project/gramps,49.0,423824.0,1468.0,4.0,0.0,2022-05-09T13:27:31Z,https://github.com/gramps-project/gramps,1468.0
29,1.0,365,55,2014-08-18T02:55:59Z,241.0,1.0,Other,carpedm20/emoji,16.0,7209.0,1448.0,2.0,0.0,2022-05-06T06:36:20Z,https://github.com/carpedm20/emoji,1448.0
30,1.0,614,130,2010-09-20T12:42:29Z,293.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",jazzband/django-constance,32.0,795.0,1448.0,0.0,0.0,2022-05-09T09:24:02Z,https://github.com/jazzband/django-constance,1448.0
31,1.0,53,4,2017-10-07T10:49:03Z,503.0,0.0,Not Found,Gameye98/Lazymux,2.0,4777.0,1457.0,0.0,0.0,2022-05-08T23:30:33Z,https://github.com/Gameye98/Lazymux,1457.0
32,1.0,4,2,2021-08-15T19:52:47Z,124.0,0.0,Apache License 2.0,AsuharietYgvar/AppleNeuralHash2ONNX,6.0,15.0,1457.0,4.0,0.0,2022-05-09T07:28:40Z,https://github.com/AsuharietYgvar/AppleNeuralHash2ONNX,1457.0
33,1.0,319,3,2020-12-03T20:17:09Z,196.0,0.0,Other,brndnmtthws/thetagang,6.0,8754.0,1454.0,8.0,0.0,2022-05-08T10:53:26Z,https://github.com/brndnmtthws/thetagang,1454.0
34,1.0,622,82,2016-12-02T14:11:13Z,248.0,0.0,Apache License 2.0,weaveworks/grafanalib,32.0,1040.0,1455.0,4.0,0.0,2022-05-09T15:56:04Z,https://github.com/weaveworks/grafanalib,1455.0
35,1.0,64,6,2020-08-30T07:56:22Z,279.0,0.0,GNU General Public License v3.0,tradytics/surpriver,12.0,2064.0,1446.0,10.0,0.0,2022-05-08T13:20:42Z,https://github.com/tradytics/surpriver,1446.0
36,1.0,1804,37,2017-09-14T09:23:23Z,170.0,0.0,MIT License,wemake-services/wemake-django-template,34.0,3893.0,1447.0,10.0,0.0,2022-05-09T04:41:56Z,https://github.com/wemake-services/wemake-django-template,1447.0
37,1.0,82,2,2019-01-29T16:05:34Z,410.0,0.0,Apache License 2.0,al0ne/Vxscan,4.0,5037.0,1455.0,17.0,0.0,2022-05-09T08:42:23Z,https://github.com/al0ne/Vxscan,1455.0
