,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,964,7,2014-09-27T12:13:58Z,165.0,0.0,Mozilla Public License 2.0,ukdtom/WebTools.bundle,0.0,23093.0,1219.0,6.0,515.0,2022-05-07T06:17:28Z,https://github.com/ukdtom/WebTools.bundle,1219.0
1,1.0,29,10,2018-10-02T21:03:28Z,164.0,0.0,Not Found,chiphuyen/sotawhat,14.0,27.0,1220.0,5.0,14.0,2022-05-06T09:39:44Z,https://github.com/chiphuyen/sotawhat,1220.0
2,1.0,204,9,2017-08-22T22:45:32Z,345.0,1.0,Other,yangyanli/PointCNN,52.0,343.0,1227.0,11.0,216.0,2022-05-09T01:18:47Z,https://github.com/yangyanli/PointCNN,1227.0
3,1.0,58,3,2013-08-12T03:58:35Z,30.0,0.0,MIT License,kevinburke/hamms,0.0,50.0,1216.0,4.0,3.0,2022-03-30T20:14:24Z,https://github.com/kevinburke/hamms,1216.0
4,1.0,891,63,2011-11-07T16:17:08Z,418.0,1.0,MIT License,dfm/emcee,41.0,34218.0,1217.0,4.0,259.0,2022-05-09T14:40:08Z,https://github.com/dfm/emcee,1217.0
5,1.0,17102,110,2016-05-27T19:33:45Z,387.0,0.0,Other,Pyomo/pyomo,301.0,60900.0,1222.0,2.0,1023.0,2022-05-09T13:02:05Z,https://github.com/Pyomo/pyomo,1222.0
6,1.0,107,9,2018-11-19T16:32:46Z,202.0,0.0,MIT License,nsonaniya2010/SubDomainizer,2.0,166.0,1240.0,17.0,22.0,2022-05-08T17:59:25Z,https://github.com/nsonaniya2010/SubDomainizer,1240.0
7,1.0,13,6,2016-05-06T12:27:07Z,455.0,0.0,Not Found,BugScanTeam/DNSLog,5.0,50.0,1219.0,0.0,19.0,2022-05-09T17:45:54Z,https://github.com/BugScanTeam/DNSLog,1219.0
8,1.0,451,58,2011-05-16T21:47:47Z,165.0,1.0,MIT License,AndrewIngram/django-extra-views,10.0,437.0,1224.0,1.0,135.0,2022-05-09T14:55:56Z,https://github.com/AndrewIngram/django-extra-views,1224.0
9,1.0,260,59,2012-06-15T10:45:48Z,212.0,0.0,MIT License,rq/rq-scheduler,77.0,540.0,1225.0,6.0,166.0,2022-05-07T03:12:19Z,https://github.com/rq/rq-scheduler,1225.0
10,1.0,299,14,2018-05-27T10:09:13Z,280.0,0.0,MIT License,alexbers/mtprotoproxy,86.0,352.0,1214.0,7.0,210.0,2022-05-08T19:05:32Z,https://github.com/alexbers/mtprotoproxy,1214.0
11,1.0,518,105,2011-08-31T17:52:05Z,298.0,0.0,MIT License,stefanfoulis/django-phonenumber-field,56.0,509.0,1231.0,0.0,187.0,2022-05-04T02:58:58Z,https://github.com/stefanfoulis/django-phonenumber-field,1231.0
12,1.0,62,6,2019-10-27T16:17:58Z,198.0,0.0,MIT License,ZFTurbo/Weighted-Boxes-Fusion,28.0,69.0,1228.0,3.0,44.0,2022-05-09T06:40:47Z,https://github.com/ZFTurbo/Weighted-Boxes-Fusion,1228.0
13,1.0,15,2,2018-01-21T10:24:49Z,321.0,0.0,Apache License 2.0,tonylins/pytorch-mobilenet-v2,11.0,13.0,1226.0,0.0,37.0,2022-05-09T14:21:00Z,https://github.com/tonylins/pytorch-mobilenet-v2,1226.0
14,1.0,589,6,2013-09-20T11:51:58Z,118.0,0.0,Not Found,MagerValp/AutoDMG,12.0,2995.0,1216.0,5.0,237.0,2022-05-09T11:07:07Z,https://github.com/MagerValp/AutoDMG,1216.0
15,1.0,134,10,2016-04-26T23:34:51Z,175.0,0.0,GNU General Public License v3.0,mschwager/fierce,4.0,239.0,1215.0,8.0,0.0,2022-05-09T08:14:38Z,https://github.com/mschwager/fierce,1215.0
16,1.0,6371,23,2017-07-13T02:31:18Z,218.0,0.0,Apache License 2.0,hi-primus/optimus,41.0,114989.0,1215.0,19.0,0.0,2022-05-07T21:26:13Z,https://github.com/hi-primus/optimus,1215.0
17,1.0,1569,113,2012-05-23T23:46:42Z,372.0,0.0,Apache License 2.0,python-zk/kazoo,110.0,3912.0,1216.0,3.0,0.0,2022-05-02T00:31:51Z,https://github.com/python-zk/kazoo,1216.0
18,1.0,139,7,2017-11-07T14:14:50Z,288.0,0.0,MIT License,gtalarico/flask-vuejs-template,24.0,2771.0,1218.0,9.0,0.0,2022-05-08T13:12:21Z,https://github.com/gtalarico/flask-vuejs-template,1218.0
19,1.0,317,,2015-05-08T11:21:00Z,389.0,0.0,Not Found,DidierStevens/DidierStevensSuite,8.0,14448.0,1214.0,0.0,0.0,2022-05-09T11:17:07Z,https://github.com/DidierStevens/DidierStevensSuite,1214.0
20,1.0,520,47,2019-07-20T10:31:47Z,69.0,0.0,MIT License,scanapi/scanapi,37.0,1657.0,1213.0,11.0,0.0,2022-05-05T14:47:07Z,https://github.com/scanapi/scanapi,1213.0
21,1.0,744,14,2020-06-27T14:16:42Z,179.0,0.0,MIT License,soxoj/maigret,25.0,4627.0,1227.0,19.0,0.0,2022-05-09T14:32:29Z,https://github.com/soxoj/maigret,1227.0
22,1.0,390,36,2016-08-10T16:47:10Z,430.0,1.0,Other,CSTR-Edinburgh/merlin,210.0,6846.0,1219.0,9.0,0.0,2022-05-08T09:55:58Z,https://github.com/CSTR-Edinburgh/merlin,1219.0
23,1.0,14,3,2019-06-13T11:08:59Z,189.0,1.0,Apache License 2.0,PeterWang512/FALdetector,25.0,21720.0,1221.0,0.0,0.0,2022-05-08T21:57:47Z,https://github.com/PeterWang512/FALdetector,1221.0
24,1.0,23,6,2014-10-19T01:53:26Z,495.0,0.0,MIT License,miguelgrinberg/flask-video-streaming,8.0,31.0,1223.0,0.0,0.0,2022-05-09T01:35:24Z,https://github.com/miguelgrinberg/flask-video-streaming,1223.0
25,1.0,1266,14,2019-10-30T08:26:16Z,154.0,0.0,MIT License,oegedijk/explainerdashboard,10.0,83914.0,1210.0,14.0,0.0,2022-05-09T05:53:29Z,https://github.com/oegedijk/explainerdashboard,1210.0
26,1.0,57,2,2018-12-27T02:02:36Z,267.0,0.0,Not Found,jasonwei20/eda_nlp,7.0,20905.0,1247.0,11.0,0.0,2022-05-09T03:08:03Z,https://github.com/jasonwei20/eda_nlp,1247.0
27,1.0,44,4,2017-02-11T21:24:11Z,390.0,0.0,MIT License,D4Vinci/Dr0p1t-Framework,6.0,7634.0,1220.0,20.0,0.0,2022-05-08T16:04:32Z,https://github.com/D4Vinci/Dr0p1t-Framework,1220.0
28,1.0,380,11,2017-07-31T09:23:16Z,130.0,1.0,"BSD 3-Clause ""New"" or ""Revised"" License",johannfaouzi/pyts,35.0,7807.0,1259.0,6.0,60.0,2022-05-09T16:13:33Z,https://github.com/johannfaouzi/pyts,1259.0
29,1.0,6489,115,2014-06-03T14:47:02Z,253.0,0.0,GNU Affero General Public License v3.0,privacyidea/privacyidea,206.0,42252.0,1212.0,13.0,1771.0,2022-05-08T20:58:27Z,https://github.com/privacyidea/privacyidea,1212.0
30,1.0,8143,232,2014-05-16T11:29:11Z,215.0,0.0,GNU Affero General Public License v3.0,YunoHost/yunohost,73.0,13835.0,1212.0,5.0,0.0,2022-05-09T18:55:49Z,https://github.com/YunoHost/yunohost,1212.0
