,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,197,31,2016-07-13T20:54:48Z,561.0,1.0,Other,aalhour/awesome-compilers,56.0,309.0,6774.0,10.0,26.0,2022-05-26T00:48:41Z,https://github.com/aalhour/awesome-compilers,6774.0
1,1.0,260,20,2016-11-29T15:07:14Z,654.0,1.0,Not Found,Akryum/vue-virtual-scroller,198.0,12495.0,6759.0,5.0,296.0,2022-05-26T09:26:02Z,https://github.com/Akryum/vue-virtual-scroller,6759.0
2,1.0,10888,236,2011-11-22T14:26:07Z,1072.0,0.0,Other,Jermolene/TiddlyWiki5,1101.0,47585.0,6759.0,8.0,3059.0,2022-05-25T22:59:33Z,https://github.com/Jermolene/TiddlyWiki5,6759.0
3,1.0,3799,163,2016-12-02T16:40:38Z,1662.0,0.0,Other,isl-org/Open3D,491.0,596151.0,6779.0,20.0,2649.0,2022-05-26T06:32:56Z,https://github.com/isl-org/Open3D,6779.0
4,1.0,1068,20,2010-03-03T08:04:15Z,788.0,0.0,MIT License,ajenti/ajenti,10.0,35718.0,6756.0,7.0,1118.0,2022-05-25T00:07:00Z,https://github.com/ajenti/ajenti,6756.0
5,1.0,14481,289,2013-12-22T17:56:48Z,1091.0,0.0,Other,PCSX2/pcsx2,585.0,136344.0,6756.0,5.0,2729.0,2022-05-26T09:54:00Z,https://github.com/PCSX2/pcsx2,6756.0
6,1.0,45,12,2013-05-31T00:53:50Z,1039.0,0.0,Not Found,exercism/exercism,305.0,16879.0,6756.0,0.0,4327.0,2022-05-25T07:45:35Z,https://github.com/exercism/exercism,6756.0
7,1.0,96,23,2014-07-16T13:10:14Z,308.0,0.0,Not Found,webpro/awesome-dotfiles,3.0,71.0,6823.0,10.0,7.0,2022-05-26T08:08:46Z,https://github.com/webpro/awesome-dotfiles,6823.0
8,1.0,350,5,2014-07-31T23:40:45Z,5666.0,1.0,Not Found,lazyprogrammer/machine_learning_examples,32.0,22529.0,6756.0,6.0,45.0,2022-05-25T22:33:08Z,https://github.com/lazyprogrammer/machine_learning_examples,6756.0
9,1.0,1131,28,2014-09-30T18:29:14Z,421.0,1.0,Apache License 2.0,google/lovefield,55.0,53970.0,6770.0,0.0,229.0,2022-05-18T05:35:53Z,https://github.com/google/lovefield,6770.0
10,1.0,2826,162,2014-10-22T17:35:14Z,520.0,0.0,MIT License,gobuffalo/buffalo,28.0,16090.0,6750.0,8.0,907.0,2022-05-26T08:41:30Z,https://github.com/gobuffalo/buffalo,6750.0
11,1.0,519,61,2017-12-15T14:28:14Z,407.0,0.0,MIT License,rivo/tview,80.0,3967.0,6900.0,3.0,535.0,2022-05-26T06:34:03Z,https://github.com/rivo/tview,6900.0
12,1.0,312,30,2014-06-11T12:14:06Z,578.0,1.0,MIT License,filamentgroup/loadCSS,37.0,577.0,6748.0,0.0,169.0,2022-05-26T05:19:14Z,https://github.com/filamentgroup/loadCSS,6748.0
13,1.0,311,13,2016-02-10T08:56:28Z,1070.0,0.0,GNU General Public License v3.0,Cenmrev/V2RayX,107.0,23703.0,6774.0,0.0,309.0,2022-05-26T05:56:51Z,https://github.com/Cenmrev/V2RayX,6774.0
14,1.0,564,71,2017-04-13T04:13:44Z,1151.0,0.0,MIT License,DylanVann/react-native-fast-image,375.0,61999.0,6830.0,8.0,612.0,2022-05-26T02:38:18Z,https://github.com/DylanVann/react-native-fast-image,6830.0
15,1.0,2126,4,2020-01-20T10:01:28Z,611.0,0.0,Other,AaronFeng753/Waifu2x-Extension-GUI,22.0,219005.0,6784.0,20.0,268.0,2022-05-26T02:15:04Z,https://github.com/AaronFeng753/Waifu2x-Extension-GUI,6784.0
16,1.0,277,43,2014-11-06T05:29:05Z,1352.0,0.0,Other,cameron314/concurrentqueue,20.0,5035.0,6747.0,0.0,237.0,2022-05-26T10:01:34Z,https://github.com/cameron314/concurrentqueue,6747.0
