,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,244,11,2016-05-09T11:43:25Z,1617.0,1.0,Apache License 2.0,chyroc/WechatSogou,73.0,4325.0,5314.0,6.0,183.0,2022-05-07T02:01:27Z,https://github.com/chyroc/WechatSogou,5314.0
1,1.0,622,38,2016-10-23T14:59:38Z,925.0,1.0,"BSD 3-Clause ""New"" or ""Revised"" License",NicolasHug/Surprise,67.0,6567.0,5359.0,6.0,345.0,2022-05-09T14:18:52Z,https://github.com/NicolasHug/Surprise,5359.0
2,1.0,261,34,2014-03-20T21:43:58Z,244.0,0.0,MIT License,anishathalye/dotbot,30.0,311.0,5307.0,0.0,217.0,2022-05-09T15:24:47Z,https://github.com/anishathalye/dotbot,5307.0
3,1.0,22,4,2016-08-26T22:22:09Z,694.0,0.0,MIT License,david-gpu/srez,5.0,207.0,5286.0,0.0,0.0,2022-05-07T17:00:10Z,https://github.com/david-gpu/srez,5286.0
4,1.0,165,21,2016-02-12T08:32:54Z,1671.0,0.0,Apache License 2.0,liuwons/wxBot,116.0,1291.0,5281.0,0.0,256.0,2022-05-08T07:24:56Z,https://github.com/liuwons/wxBot,5281.0
5,1.0,44,8,2018-01-23T19:42:02Z,916.0,0.0,Apache License 2.0,google/diff-match-patch,74.0,675.0,5307.0,5.0,87.0,2022-05-09T13:15:25Z,https://github.com/google/diff-match-patch,5307.0
6,1.0,46,,2018-02-24T02:44:52Z,1068.0,0.0,GNU Affero General Public License v3.0,wb14123/seq2seq-couplet,7.0,45.0,5269.0,3.0,70.0,2022-05-09T04:46:50Z,https://github.com/wb14123/seq2seq-couplet,5269.0
7,1.0,33,8,2014-11-27T23:22:39Z,1353.0,0.0,Not Found,karpathy/neuraltalk,30.0,5216.0,5264.0,0.0,38.0,2022-05-06T18:19:33Z,https://github.com/karpathy/neuraltalk,5264.0
8,1.0,925,72,2014-03-01T15:14:04Z,1258.0,1.0,MIT License,devicons/devicon,191.0,93301.0,5287.0,8.0,578.0,2022-05-09T17:13:55Z,https://github.com/devicons/devicon,5287.0
9,1.0,1222,242,2015-06-03T17:16:20Z,724.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",django/channels,122.0,1992.0,5263.0,0.0,1142.0,2022-05-09T08:10:28Z,https://github.com/django/channels,5263.0
10,1.0,17024,68,2020-03-09T16:00:06Z,3351.0,0.0,Not Found,owid/covid-19-data,14.0,57016105.0,5253.0,4.0,850.0,2022-05-09T14:01:00Z,https://github.com/owid/covid-19-data,5253.0
11,1.0,3,,2021-02-23T23:01:11Z,885.0,0.0,Other,openai/DALL-E,29.0,7.0,5418.0,0.0,49.0,2022-05-09T17:59:07Z,https://github.com/openai/DALL-E,5418.0
12,1.0,2826,64,2014-04-24T15:45:26Z,1101.0,1.0,GNU General Public License v2.0,volatilityfoundation/volatility,176.0,21655.0,5315.0,5.0,680.0,2022-05-09T07:42:02Z,https://github.com/volatilityfoundation/volatility,5315.0
13,1.0,1342,127,2010-10-23T12:00:17Z,634.0,1.0,Other,gorakhargosh/watchdog,176.0,1942.0,5262.0,0.0,566.0,2022-05-08T22:05:32Z,https://github.com/gorakhargosh/watchdog,5262.0
14,1.0,308,40,2016-07-02T15:53:12Z,1336.0,0.0,MIT License,keras-rl/keras-rl,41.0,1414.0,5264.0,6.0,234.0,2022-05-08T12:29:33Z,https://github.com/keras-rl/keras-rl,5264.0
15,1.0,965,128,2017-05-31T13:13:43Z,442.0,1.0,"BSD 3-Clause ""New"" or ""Revised"" License",encode/uvicorn,88.0,2551.0,5233.0,5.0,578.0,2022-05-09T18:25:22Z,https://github.com/encode/uvicorn,5233.0
16,1.0,554,54,2014-04-06T11:10:28Z,161.0,0.0,SIL Open Font License 1.1,i-tu/Hasklig,42.0,138068.0,5231.0,5.0,104.0,2022-05-09T14:32:29Z,https://github.com/i-tu/Hasklig,5231.0
17,1.0,2057,45,2015-09-22T15:41:48Z,490.0,1.0,GNU General Public License v3.0,achael/eht-imaging,10.0,31512.0,5225.0,0.0,19.0,2022-05-08T16:09:28Z,https://github.com/achael/eht-imaging,5225.0
18,1.0,195,32,2016-09-12T13:50:45Z,1290.0,0.0,MIT License,ibab/tensorflow-wavenet,171.0,335.0,5231.0,0.0,275.0,2022-05-08T06:43:55Z,https://github.com/ibab/tensorflow-wavenet,5231.0
19,1.0,147,6,2017-02-09T14:44:32Z,1581.0,0.0,MIT License,oarriaga/face_classification,51.0,124216.0,5227.0,0.0,119.0,2022-05-07T13:09:40Z,https://github.com/oarriaga/face_classification,5227.0
20,1.0,54,8,2018-04-05T23:31:06Z,820.0,0.0,MIT License,cchen156/Learning-to-See-in-the-Dark,62.0,472.0,5204.0,3.0,101.0,2022-05-05T06:04:25Z,https://github.com/cchen156/Learning-to-See-in-the-Dark,5204.0
21,1.0,1993,284,2012-02-25T12:53:47Z,1485.0,0.0,GNU Lesser General Public License v3.0,PyGithub/PyGithub,95.0,13544.0,5240.0,4.0,1276.0,2022-05-09T12:32:33Z,https://github.com/PyGithub/PyGithub,5240.0
22,1.0,1285,185,2012-07-08T13:35:09Z,931.0,1.0,Other,mher/flower,105.0,4796.0,5192.0,9.0,823.0,2022-05-09T09:27:58Z,https://github.com/mher/flower,5192.0
23,1.0,895,115,2018-02-26T01:33:21Z,1164.0,0.0,Apache License 2.0,dmlc/gluon-cv,60.0,39773.0,5185.0,13.0,800.0,2022-05-08T12:20:49Z,https://github.com/dmlc/gluon-cv,5185.0
24,1.0,132,19,2017-08-16T12:17:08Z,1706.0,0.0,GNU General Public License v3.0,milesial/Pytorch-UNet,41.0,48543.0,5319.0,11.0,320.0,2022-05-09T10:55:58Z,https://github.com/milesial/Pytorch-UNet,5319.0
25,1.0,4136,169,2014-05-20T21:08:34Z,604.0,0.0,Other,onionshare/onionshare,110.0,26844.0,5178.0,9.0,872.0,2022-05-09T16:24:30Z,https://github.com/onionshare/onionshare,5178.0
26,1.0,128,7,2014-10-14T16:48:40Z,2097.0,0.0,MIT License,fluentpython/example-code,24.0,12950.0,5179.0,0.0,26.0,2022-05-08T19:48:34Z,https://github.com/fluentpython/example-code,5179.0
27,1.0,108,7,2017-08-15T18:03:01Z,594.0,0.0,MIT License,vi3k6i5/flashtext,58.0,447.0,5157.0,5.0,99.0,2022-05-09T02:55:07Z,https://github.com/vi3k6i5/flashtext,5157.0
