,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,71,2,2017-08-19T02:17:42Z,1009.0,0.0,Not Found,CHYbeta/Web-Security-Learning,4.0,927.0,3832.0,3.0,9.0,2022-05-28T06:53:57Z,https://github.com/CHYbeta/Web-Security-Learning,3832.0
1,1.0,3338,208,2010-03-22T23:34:58Z,2763.0,0.0,Apache License 2.0,aws/aws-sdk-java,161.0,3431730.0,3767.0,4.0,2154.0,2022-05-28T04:58:39Z,https://github.com/aws/aws-sdk-java,3767.0
2,1.0,561,26,2013-03-30T16:53:24Z,290.0,0.0,MIT License,creationix/js-git,47.0,787.0,3777.0,0.0,111.0,2022-05-09T08:15:34Z,https://github.com/creationix/js-git,3777.0
3,1.0,652,6,2020-03-05T00:28:47Z,1316.0,0.0,GNU General Public License v3.0,proxysu/ProxySU,29.0,31560.0,3772.0,20.0,237.0,2022-05-27T14:48:03Z,https://github.com/proxysu/ProxySU,3772.0
4,1.0,196,31,2013-01-28T20:41:25Z,431.0,0.0,MIT License,tholman/zenpen,17.0,262.0,3762.0,0.0,89.0,2022-05-26T21:18:12Z,https://github.com/tholman/zenpen,3762.0
5,1.0,188,,2018-06-13T08:31:26Z,1984.0,0.0,Apache License 2.0,CharlesPikachu/Games,0.0,481262.0,3772.0,10.0,22.0,2022-05-28T03:32:42Z,https://github.com/CharlesPikachu/Games,3772.0
6,1.0,741,106,2010-06-01T15:01:50Z,881.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",pallets-eco/flask-sqlalchemy,64.0,965.0,3769.0,4.0,567.0,2022-05-28T07:18:25Z,https://github.com/pallets-eco/flask-sqlalchemy,3769.0
7,1.0,1626,65,2014-05-28T07:53:53Z,567.0,0.0,Apache License 2.0,powermock/powermock,433.0,5946.0,3806.0,5.0,952.0,2022-05-27T10:45:13Z,https://github.com/powermock/powermock,3806.0
8,1.0,103,9,2018-08-02T03:41:17Z,1153.0,0.0,Not Found,OlivierLaflamme/Cheatsheet-God,0.0,812.0,3767.0,20.0,12.0,2022-05-27T22:22:32Z,https://github.com/OlivierLaflamme/Cheatsheet-God,3767.0
9,1.0,1616,79,2020-07-09T10:38:35Z,226.0,1.0,GNU General Public License v3.0,elrumo/macOS_Big_Sur_icons_replacements,640.0,1620700.0,3767.0,6.0,939.0,2022-05-27T01:46:52Z,https://github.com/elrumo/macOS_Big_Sur_icons_replacements,3767.0
10,1.0,176,59,2016-05-24T12:56:48Z,493.0,0.0,Other,sobolevn/awesome-cryptography,15.0,346.0,3773.0,6.0,19.0,2022-05-28T09:26:08Z,https://github.com/sobolevn/awesome-cryptography,3773.0
11,1.0,17266,252,2017-03-30T19:22:52Z,606.0,0.0,Apache License 2.0,emissary-ingress/emissary,378.0,104468.0,3765.0,12.0,1498.0,2022-05-26T17:50:39Z,https://github.com/emissary-ingress/emissary,3765.0
12,1.0,23,6,2011-09-15T10:58:01Z,1164.0,0.0,Apache License 2.0,LazarSoft/jsqrcode,81.0,61.0,3772.0,0.0,76.0,2022-05-26T12:15:29Z,https://github.com/LazarSoft/jsqrcode,3772.0
13,1.0,641,2,2019-01-07T07:59:02Z,690.0,1.0,Apache License 2.0,xuexiangjys/XUI,3.0,259929.0,3822.0,7.0,94.0,2022-05-27T06:36:07Z,https://github.com/xuexiangjys/XUI,3822.0
14,1.0,384,44,2011-12-05T17:09:20Z,837.0,0.0,GNU General Public License v3.0,interconnectit/Search-Replace-DB,16.0,1336.0,3789.0,0.0,214.0,2022-05-26T20:26:24Z,https://github.com/interconnectit/Search-Replace-DB,3789.0
15,1.0,1318,97,2014-03-31T18:05:29Z,348.0,0.0,MIT License,IDSIA/sacred,85.0,6118.0,3828.0,7.0,529.0,2022-05-27T17:48:44Z,https://github.com/IDSIA/sacred,3828.0
16,1.0,8036,139,2011-08-05T06:46:32Z,778.0,0.0,Apache License 2.0,querydsl/querydsl,159.0,51497.0,3804.0,0.0,1867.0,2022-05-27T02:02:12Z,https://github.com/querydsl/querydsl,3804.0
17,1.0,16,4,2015-11-03T11:22:38Z,1224.0,0.0,Not Found,jobbole/awesome-machine-learning-cn,1.0,58.0,3778.0,0.0,2.0,2022-05-27T03:23:16Z,https://github.com/jobbole/awesome-machine-learning-cn,3778.0
18,1.0,387,66,2011-03-31T04:55:37Z,272.0,0.0,MIT License,indexzero/nconf,108.0,848.0,3767.0,0.0,207.0,2022-05-26T18:37:55Z,https://github.com/indexzero/nconf,3767.0
19,1.0,3372,116,2013-08-21T15:45:47Z,526.0,1.0,Apache License 2.0,square/wire,132.0,22697.0,3763.0,0.0,0.0,2022-05-27T09:56:54Z,https://github.com/square/wire,3763.0
20,1.0,2773,104,2008-09-05T10:48:33Z,267.0,0.0,MIT License,troessner/reek,51.0,5704.0,3762.0,8.0,0.0,2022-05-27T02:11:00Z,https://github.com/troessner/reek,3762.0
21,1.0,820,58,2014-08-07T11:28:01Z,318.0,0.0,MIT License,Triple-T/gradle-play-publisher,11.0,4385.0,3785.0,11.0,0.0,2022-05-25T18:14:20Z,https://github.com/Triple-T/gradle-play-publisher,3785.0
22,1.0,3824,171,2013-11-09T21:13:29Z,1183.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",dpgaspar/Flask-AppBuilder,78.0,42788.0,3767.0,9.0,0.0,2022-05-28T10:06:35Z,https://github.com/dpgaspar/Flask-AppBuilder,3767.0
23,1.0,34,,2017-09-01T05:42:02Z,559.0,0.0,Not Found,brickspert/blog,26.0,41.0,3770.0,0.0,50.0,2022-05-26T08:11:28Z,https://github.com/brickspert/blog,3770.0
24,1.0,113,7,2021-01-25T13:33:24Z,214.0,0.0,MIT License,jonasstrehle/supercookie,12.0,22707.0,3825.0,20.0,22.0,2022-05-28T09:26:34Z,https://github.com/jonasstrehle/supercookie,3825.0
25,1.0,482,35,2012-01-08T20:52:44Z,782.0,0.0,Apache License 2.0,grangier/python-goose,107.0,3910.0,3774.0,0.0,173.0,2022-05-27T03:41:35Z,https://github.com/grangier/python-goose,3774.0
26,1.0,114,25,2019-08-19T14:24:17Z,237.0,0.0,Not Found,Atarity/deploy-your-own-saas,0.0,295.0,3762.0,5.0,22.0,2022-05-27T22:47:48Z,https://github.com/Atarity/deploy-your-own-saas,3762.0
27,1.0,416,8,2014-06-16T04:47:54Z,2434.0,0.0,MIT License,databricks/learning-spark,29.0,370.0,3760.0,0.0,27.0,2022-05-27T02:11:09Z,https://github.com/databricks/learning-spark,3760.0
