,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,5315,186,2012-09-05T22:31:25Z,1479.0,0.0,Apache License 2.0,aws/aws-sdk-js,192.0,377146.0,7040.0,3.0,3005.0,2022-05-26T04:43:26Z,https://github.com/aws/aws-sdk-js,7040.0
1,1.0,8037,117,2016-02-16T11:07:20Z,481.0,0.0,Other,popcorn-official/popcorn-desktop,27.0,36899.0,7038.0,7.0,1626.0,2022-05-26T06:56:06Z,https://github.com/popcorn-official/popcorn-desktop,7038.0
2,1.0,556,8,2019-05-10T18:29:53Z,500.0,0.0,GNU Affero General Public License v3.0,rileytestut/AltStore,458.0,151915.0,7043.0,0.0,806.0,2022-05-26T09:59:25Z,https://github.com/rileytestut/AltStore,7043.0
3,1.0,134,47,2018-07-23T22:40:54Z,1309.0,0.0,MIT License,microsoft/ailab,66.0,103592.0,7038.0,18.0,49.0,2022-05-26T00:40:36Z,https://github.com/microsoft/ailab,7038.0
4,1.0,3086,228,2015-01-11T16:06:46Z,299.0,0.0,Other,terser/terser,215.0,12508.0,7049.0,6.0,788.0,2022-05-26T08:18:31Z,https://github.com/terser/terser,7049.0
5,1.0,78,9,2015-04-26T20:12:51Z,425.0,1.0,Other,NeXTs/Clusterize.js,50.0,1934.0,7037.0,3.0,164.0,2022-05-26T08:52:10Z,https://github.com/NeXTs/Clusterize.js,7037.0
6,1.0,734,62,2014-07-25T18:35:41Z,688.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",ljharb/qs,64.0,985.0,7039.0,9.0,287.0,2022-05-26T10:05:13Z,https://github.com/ljharb/qs,7039.0
7,1.0,60,2,2019-02-08T14:15:12Z,1341.0,0.0,MIT License,brightmart/nlp_chinese_corpus,16.0,4142.0,7041.0,15.0,0.0,2022-05-26T07:11:56Z,https://github.com/brightmart/nlp_chinese_corpus,7041.0
8,1.0,390,75,2016-12-05T13:58:02Z,299.0,0.0,MIT License,vercel/styled-jsx,73.0,2411.0,7042.0,6.0,0.0,2022-05-26T04:02:57Z,https://github.com/vercel/styled-jsx,7042.0
9,1.0,198,58,2015-03-11T12:14:36Z,126.0,1.0,MIT License,webmozarts/assert,38.0,467.0,7071.0,1.0,0.0,2022-05-25T15:35:58Z,https://github.com/webmozarts/assert,7071.0
10,1.0,17088,464,2010-11-21T07:44:20Z,1298.0,0.0,Other,cython/cython,1078.0,64284.0,7036.0,8.0,0.0,2022-05-25T11:41:21Z,https://github.com/cython/cython,7036.0
11,1.0,691,29,2018-06-29T23:57:16Z,1167.0,0.0,Apache License 2.0,nasa-jpl/open-source-rover,45.0,2466761.0,7035.0,4.0,235.0,2022-05-25T04:07:28Z,https://github.com/nasa-jpl/open-source-rover,7035.0
12,1.0,2125,202,2015-08-17T17:57:06Z,1348.0,0.0,Apache License 2.0,dexidp/dex,351.0,22334.0,7039.0,5.0,987.0,2022-05-26T08:21:56Z,https://github.com/dexidp/dex,7039.0
13,1.0,781,40,2019-05-02T04:21:03Z,260.0,0.0,MIT License,sw-yx/spark-joy,7.0,1858.0,7030.0,3.0,22.0,2022-05-26T08:07:29Z,https://github.com/sw-yx/spark-joy,7030.0
14,1.0,2104,31,2010-05-16T07:02:32Z,2189.0,0.0,MIT License,DataTables/DataTables,126.0,14125.0,7028.0,0.0,0.0,2022-05-26T08:25:40Z,https://github.com/DataTables/DataTables,7028.0
15,1.0,614,17,2015-10-12T13:40:48Z,870.0,1.0,Apache License 2.0,google/android-classyshark,36.0,24858.0,7036.0,10.0,100.0,2022-05-26T09:54:14Z,https://github.com/google/android-classyshark,7036.0
16,1.0,626,77,2011-02-22T18:01:24Z,41.0,0.0,MIT License,symfony/css-selector,1.0,720.0,7028.0,6.0,0.0,2022-05-25T23:00:40Z,https://github.com/symfony/css-selector,7028.0
17,1.0,864,95,2019-12-06T20:51:39Z,262.0,1.0,MIT License,neovide/neovide,186.0,70508.0,7072.0,5.0,914.0,2022-05-26T05:55:52Z,https://github.com/neovide/neovide,7072.0
18,1.0,2340,255,2008-08-28T06:58:04Z,978.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",jazzband/django-debug-toolbar,89.0,7371.0,7022.0,0.0,794.0,2022-05-24T20:05:55Z,https://github.com/jazzband/django-debug-toolbar,7022.0
19,1.0,1070,139,2012-09-22T02:38:32Z,1483.0,0.0,MIT License,yhirose/cpp-httplib,8.0,1978.0,7034.0,5.0,909.0,2022-05-26T09:07:58Z,https://github.com/yhirose/cpp-httplib,7034.0
20,1.0,268,31,2012-08-01T22:47:17Z,355.0,0.0,MIT License,pillarjs/path-to-regexp,17.0,661.0,7060.0,4.0,173.0,2022-05-26T01:45:22Z,https://github.com/pillarjs/path-to-regexp,7060.0
21,1.0,243,40,2017-08-28T20:28:52Z,460.0,1.0,MIT License,ApoorvSaxena/lozad.js,62.0,5671.0,7020.0,7.0,161.0,2022-05-26T02:42:17Z,https://github.com/ApoorvSaxena/lozad.js,7020.0
22,1.0,6657,342,2017-11-07T18:08:53Z,2178.0,1.0,Other,paritytech/substrate,891.0,1297292.0,7021.0,6.0,3490.0,2022-05-26T05:43:01Z,https://github.com/paritytech/substrate,7021.0
23,1.0,3977,87,2016-08-08T14:50:30Z,657.0,0.0,Other,gitkraken/vscode-gitlens,401.0,95173.0,7022.0,4.0,1683.0,2022-05-26T03:05:29Z,https://github.com/gitkraken/vscode-gitlens,7022.0
24,1.0,2376,26,2014-05-14T12:03:52Z,987.0,1.0,Apache License 2.0,seven332/EhViewer,201.0,111228.0,7025.0,4.0,597.0,2022-05-26T07:56:16Z,https://github.com/seven332/EhViewer,7025.0
25,1.0,1636,167,2011-02-22T18:04:37Z,100.0,0.0,MIT License,symfony/process,2.0,1929.0,7018.0,6.0,0.0,2022-05-25T15:36:27Z,https://github.com/symfony/process,7018.0
26,1.0,3,,2021-01-10T09:49:05Z,1558.0,0.0,Not Found,forthespada/CS-Books,11.0,247.0,7037.0,14.0,15.0,2022-05-26T10:30:44Z,https://github.com/forthespada/CS-Books,7037.0
27,1.0,106,10,2018-06-19T19:26:39Z,1468.0,1.0,Other,deeplearning-ai/machine-learning-yearning-cn,0.0,15346.0,7046.0,3.0,9.0,2022-05-26T02:45:56Z,https://github.com/deeplearning-ai/machine-learning-yearning-cn,7046.0
28,1.0,210,31,2016-12-21T17:09:41Z,111.0,0.0,MIT License,laravel/tinker,0.0,207.0,7026.0,4.0,55.0,2022-05-25T09:48:12Z,https://github.com/laravel/tinker,7026.0
29,1.0,712,202,2014-08-01T02:51:10Z,515.0,0.0,The Unlicense,emacs-tw/awesome-emacs,0.0,829.0,7013.0,2.0,45.0,2022-05-25T05:55:21Z,https://github.com/emacs-tw/awesome-emacs,7013.0
30,1.0,5053,536,2016-09-22T21:38:06Z,3096.0,0.0,Apache License 2.0,prometheus-operator/prometheus-operator,269.0,84871.0,7014.0,4.0,2236.0,2022-05-26T08:16:13Z,https://github.com/prometheus-operator/prometheus-operator,7014.0
31,1.0,29,,2021-10-07T11:42:58Z,1572.0,0.0,Not Found,peng-zhihui/Dummy-Robot,69.0,91078.0,7450.0,0.0,120.0,2022-05-26T09:36:17Z,https://github.com/peng-zhihui/Dummy-Robot,7450.0
32,1.0,546,41,2018-02-14T00:41:16Z,595.0,0.0,Apache License 2.0,google/flutter-desktop-embedding,4.0,2589.0,7013.0,0.0,455.0,2022-05-25T16:04:17Z,https://github.com/google/flutter-desktop-embedding,7013.0
33,1.0,24,7,2018-04-03T03:36:21Z,3495.0,0.0,MIT License,qqwweee/keras-yolo3,512.0,148.0,7016.0,0.0,705.0,2022-05-25T13:54:37Z,https://github.com/qqwweee/keras-yolo3,7016.0
34,1.0,7024,272,2013-04-03T12:21:14Z,674.0,0.0,MIT License,wallabag/wallabag,588.0,109297.0,7017.0,7.0,3083.0,2022-05-26T07:11:19Z,https://github.com/wallabag/wallabag,7017.0
35,1.0,1691,102,2013-09-07T01:36:03Z,286.0,0.0,Other,raineorshine/npm-check-updates,38.0,4266.0,7013.0,2.0,651.0,2022-05-26T07:05:56Z,https://github.com/raineorshine/npm-check-updates,7013.0
36,1.0,3285,150,2013-10-03T21:37:32Z,1205.0,0.0,Other,jemalloc/jemalloc,246.0,11678.0,7013.0,0.0,1105.0,2022-05-25T12:07:30Z,https://github.com/jemalloc/jemalloc,7013.0
