,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,89,11,2015-06-14T15:32:58Z,2211.0,0.0,Not Found,REMitchell/python-scraping,79.0,1485.0,3693.0,0.0,44.0,2022-05-28T01:50:19Z,https://github.com/REMitchell/python-scraping,3693.0
1,1.0,2629,85,2018-10-04T21:10:30Z,864.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",triton-inference-server/server,172.0,24575.0,3687.0,7.0,1923.0,2022-05-27T17:07:12Z,https://github.com/triton-inference-server/server,3687.0
2,1.0,444,52,2012-10-27T16:12:24Z,677.0,0.0,MIT License,endroid/qr-code,8.0,14958.0,3710.0,6.0,286.0,2022-05-28T08:04:16Z,https://github.com/endroid/qr-code,3710.0
3,1.0,36,15,2012-10-10T09:50:48Z,5418.0,0.0,MIT License,tchapi/markdown-cheatsheet,4.0,24.0,3686.0,2.0,5.0,2022-05-28T07:53:13Z,https://github.com/tchapi/markdown-cheatsheet,3686.0
4,1.0,512,63,2010-09-19T18:51:11Z,352.0,1.0,MIT License,voormedia/rails-erd,84.0,1246.0,3685.0,0.0,214.0,2022-05-27T02:06:32Z,https://github.com/voormedia/rails-erd,3685.0
5,1.0,1207,26,2015-05-21T18:15:28Z,235.0,0.0,MIT License,manosim/gitify,97.0,8283.0,3722.0,7.0,251.0,2022-05-27T00:17:45Z,https://github.com/manosim/gitify,3722.0
6,1.0,36,,2017-02-24T09:04:53Z,329.0,0.0,MIT License,zixun/GodEye,18.0,23592.0,3684.0,0.0,43.0,2022-05-28T08:00:42Z,https://github.com/zixun/GodEye,3684.0
7,1.0,2665,180,2020-08-17T04:26:40Z,250.0,0.0,GNU General Public License v2.0,htop-dev/htop,163.0,5225.0,3684.0,9.0,401.0,2022-05-27T18:15:45Z,https://github.com/htop-dev/htop,3684.0
8,1.0,565,22,2013-04-17T18:00:32Z,306.0,0.0,MIT License,cyrus-and/chrome-remote-interface,2.0,2338.0,3720.0,10.0,426.0,2022-05-26T17:17:05Z,https://github.com/cyrus-and/chrome-remote-interface,3720.0
9,1.0,761,80,2011-02-27T20:00:51Z,352.0,0.0,Other,ultrajson/ultrajson,37.0,8438.0,3714.0,7.0,322.0,2022-05-28T09:16:30Z,https://github.com/ultrajson/ultrajson,3714.0
