,allow_forking,commit_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count,contributor_count
83,1.0,65,2017-11-12T16:08:44Z,687.0,0.0,GNU General Public License v3.0,ZhengyaoJiang/PGPortfolio,52.0,270.0,1481.0,0.0,124.0,2022-05-08T11:19:12Z,https://github.com/ZhengyaoJiang/PGPortfolio,1481.0,8
84,1.0,373,2017-09-24T15:49:05Z,159.0,1.0,Apache License 2.0,chaostoolkit/chaostoolkit,7.0,1137.0,1503.0,8.0,153.0,2022-05-09T16:13:45Z,https://github.com/chaostoolkit/chaostoolkit,1503.0,16
85,1.0,47,2015-07-28T08:06:41Z,105.0,0.0,MIT License,madisonmay/Tomorrow,5.0,28.0,1463.0,0.0,16.0,2022-05-09T11:12:03Z,https://github.com/madisonmay/Tomorrow,1463.0,8
86,1.0,12,2017-05-08T20:02:42Z,567.0,0.0,Apache License 2.0,abatchy17/WindowsExploits,1.0,46824.0,1487.0,3.0,1.0,2022-05-05T08:12:41Z,https://github.com/abatchy17/WindowsExploits,1487.0,2
87,1.0,36,2014-07-14T14:21:17Z,439.0,0.0,GNU General Public License v3.0,SECFORCE/sparta,19.0,420.0,1467.0,0.0,109.0,2022-05-02T19:09:49Z,https://github.com/SECFORCE/sparta,1467.0,2
88,1.0,1198,2016-09-29T14:36:12Z,868.0,0.0,Apache License 2.0,GoogleCloudPlatform/cloudml-samples,0.0,86306.0,1463.0,6.0,207.0,2022-05-08T14:00:55Z,https://github.com/GoogleCloudPlatform/cloudml-samples,1463.0,85
89,1.0,67,2019-05-01T14:03:49Z,194.0,0.0,MIT License,kakaobrain/fast-autoaugment,28.0,1521.0,1486.0,10.0,56.0,2022-05-07T09:40:07Z,https://github.com/kakaobrain/fast-autoaugment,1486.0,5
90,1.0,243,2015-01-17T01:32:08Z,119.0,0.0,MIT License,csvoss/onelinerizer,9.0,2371.0,1462.0,0.0,28.0,2022-05-03T00:55:28Z,https://github.com/csvoss/onelinerizer,1462.0,5
91,1.0,45,2018-01-21T04:04:32Z,683.0,1.0,MIT License,maziarraissi/PINNs,36.0,485859.0,1471.0,0.0,38.0,2022-05-09T12:14:00Z,https://github.com/maziarraissi/PINNs,1471.0,3
92,1.0,162,2019-07-08T14:25:42Z,294.0,0.0,GNU General Public License v3.0,L-codes/Neo-reGeorg,5.0,156.0,1464.0,7.0,57.0,2022-05-09T13:17:44Z,https://github.com/L-codes/Neo-reGeorg,1464.0,5
93,1.0,212,2021-01-21T03:49:44Z,303.0,0.0,MIT License,alibaba/taobao-iphone-device,95.0,6857.0,1463.0,4.0,185.0,2022-05-09T16:39:16Z,https://github.com/alibaba/taobao-iphone-device,1463.0,14
94,1.0,214,2017-08-04T07:34:44Z,880.0,0.0,Not Found,bhattsameer/Bombers,9.0,226.0,1471.0,20.0,0.0,2022-05-09T19:24:48Z,https://github.com/bhattsameer/Bombers,1471.0,21
95,1.0,26,2020-07-16T21:17:58Z,223.0,0.0,Other,facebookresearch/swav,26.0,65.0,1505.0,0.0,0.0,2022-05-09T11:56:09Z,https://github.com/facebookresearch/swav,1505.0,3
96,1.0,484,2018-03-22T02:40:06Z,402.0,0.0,MIT License,philipperemy/keras-tcn,9.0,5961.0,1460.0,5.0,0.0,2022-05-09T13:46:21Z,https://github.com/philipperemy/keras-tcn,1460.0,21
97,1.0,386,2012-03-13T13:44:30Z,136.0,0.0,MIT License,nickstenning/honcho,18.0,383.0,1465.0,3.0,0.0,2022-05-09T04:28:49Z,https://github.com/nickstenning/honcho,1465.0,44
98,1.0,17,2018-10-14T12:16:14Z,522.0,0.0,MIT License,lemonhu/stock-knowledge-graph,19.0,57602.0,1497.0,8.0,0.0,2022-05-09T12:35:21Z,https://github.com/lemonhu/stock-knowledge-graph,1497.0,3
99,1.0,1555,2013-03-22T00:27:36Z,2019.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",QuantEcon/QuantEcon.py,63.0,19011.0,1468.0,0.0,0.0,2022-05-09T02:30:32Z,https://github.com/QuantEcon/QuantEcon.py,1468.0,39
