,name,url,star_count,license,contributor_count,size,watchers_count,forks,github_pages,open_issues,topics_count,created_at,updated_at,allow_forking,total_issue_count,commit_count
0,statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,7344,"BSD 3-Clause ""New"" or ""Revised"" License",371,50022,7344,2490,False,2349,13,2011-06-12T17:04:50Z,2022-05-09T14:09:22Z,True,4714,14580
1,yandex/gixy,https://github.com/yandex/gixy,7347,Other,18,802,7347,375,False,47,0,2017-03-15T01:02:40Z,2022-05-09T14:54:26Z,True,69,126
2,openai/universe,https://github.com/openai/universe,7319,MIT License,24,1616,7319,910,False,0,0,2016-12-04T21:53:35Z,2022-05-07T06:12:06Z,True,193,210
3,MorvanZhou/Reinforcement-learning-with-tensorflow,https://github.com/MorvanZhou/Reinforcement-learning-with-tensorflow,7316,MIT License,9,437,7316,4709,False,56,20,2017-05-06T03:01:31Z,2022-05-09T09:18:49Z,True,181,111
4,modin-project/modin,https://github.com/modin-project/modin,7327,Other,90,42645,7327,508,False,885,9,2018-06-21T21:35:05Z,2022-05-09T16:12:38Z,True,2598,1803
5,lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,7334,MIT License,70,5743,7334,864,True,74,5,2017-06-13T13:54:19Z,2022-05-08T17:44:45Z,True,430,483
6,Supervisor/supervisor,https://github.com/Supervisor/supervisor,7295,Other,164,5552,7295,1183,False,133,0,2010-12-08T00:48:48Z,2022-05-09T11:50:59Z,True,1048,2380
7,brightmart/text_classification,https://github.com/brightmart/text_classification,7304,MIT License,14,14797,7304,2575,False,46,13,2017-05-30T14:25:42Z,2022-05-09T13:39:07Z,True,123,318
8,boto/boto3,https://github.com/boto/boto3,7240,Apache License 2.0,133,5124,7240,1571,False,228,5,2014-10-03T21:38:03Z,2022-05-09T08:27:58Z,True,2629,4342
9,donnemartin/gitsome,https://github.com/donnemartin/gitsome,7240,Other,28,1395,7240,445,False,54,20,2016-04-23T03:08:21Z,2022-05-08T19:51:40Z,True,104,1015
10,baowenbo/DAIN,https://github.com/baowenbo/DAIN,7238,MIT License,9,285,7238,781,False,75,0,2019-03-22T02:37:19Z,2022-05-09T17:23:24Z,True,129,188
11,tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,7338,MIT License,10,4302,7338,295,False,207,7,2021-08-24T14:26:53Z,2022-05-09T17:38:33Z,True,201,87
12,kedro-org/kedro,https://github.com/kedro-org/kedro,7181,Apache License 2.0,150,109578,7181,657,True,110,7,2019-04-18T10:29:56Z,2022-05-09T11:56:33Z,True,737,1905
13,AlessandroZ/LaZagne,https://github.com/AlessandroZ/LaZagne,7213,GNU Lesser General Public License v3.0,41,3078,7213,1822,False,37,0,2015-02-16T14:10:02Z,2022-05-09T16:29:11Z,True,429,824
14,graphql-python/graphene,https://github.com/graphql-python/graphene,7180,MIT License,178,2171,7180,780,False,149,5,2015-09-24T09:18:18Z,2022-05-09T03:43:29Z,True,939,1673
15,pennersr/django-allauth,https://github.com/pennersr/django-allauth,7180,MIT License,586,7655,7180,2592,False,328,0,2010-10-10T20:10:52Z,2022-05-09T17:41:07Z,True,1830,2437
16,evilsocket/opensnitch,https://github.com/evilsocket/opensnitch,7173,GNU General Public License v3.0,54,15420,7173,393,True,67,6,2017-04-16T14:02:50Z,2022-05-09T12:05:28Z,True,404,1106
17,lbryio/lbry-sdk,https://github.com/lbryio/lbry-sdk,7161,MIT License,99,23286,7161,461,True,355,11,2015-08-20T15:24:10Z,2022-05-09T08:09:49Z,True,1739,8952
18,crazyguitar/pysheeet,https://github.com/crazyguitar/pysheeet,7158,MIT License,42,1096,7158,1054,False,16,4,2016-02-29T03:09:22Z,2022-05-08T19:50:46Z,True,32,1153
19,fail2ban/fail2ban,https://github.com/fail2ban/fail2ban,7113,GNU General Public License v2.0,245,11744,7113,1045,False,188,19,2011-09-28T16:24:20Z,2022-05-09T01:45:41Z,True,1978,5675
20,a1studmuffin/SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7124,Other,5,6900,7124,395,False,14,6,2016-06-14T03:16:07Z,2022-05-09T13:16:53Z,True,40,40
21,mps-youtube/mps-youtube,https://github.com/mps-youtube/mps-youtube,7108,Not Found,101,2732,7108,609,True,352,0,2014-02-03T04:17:46Z,2022-05-08T09:03:33Z,True,935,1850
22,fchollet/deep-learning-models,https://github.com/fchollet/deep-learning-models,7076,MIT License,4,45,7076,2451,False,87,0,2016-08-03T20:59:28Z,2022-05-09T03:36:47Z,True,106,22
23,readthedocs/readthedocs.org,https://github.com/readthedocs/readthedocs.org,7062,MIT License,464,77941,7062,3565,False,376,5,2010-08-16T19:18:06Z,2022-05-09T17:48:35Z,True,4714,19028
