,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,2084,217,2018-08-16T23:55:19Z,1166.0,0.0,GNU General Public License v3.0,LunarVim/LunarVim,81.0,13370.0,8796.0,15.0,1357.0,2022-05-26T08:07:42Z,https://github.com/LunarVim/LunarVim,8796.0
1,1.0,14496,789,2015-06-15T20:28:27Z,2040.0,0.0,MIT License,pytest-dev/pytest,774.0,29458.0,8794.0,5.0,4916.0,2022-05-26T08:41:21Z,https://github.com/pytest-dev/pytest,8794.0
2,1.0,6397,354,2015-10-23T21:41:12Z,1172.0,0.0,Apache License 2.0,apple/swift-package-manager,491.0,22068.0,8779.0,0.0,1146.0,2022-05-26T08:21:36Z,https://github.com/apple/swift-package-manager,8779.0
3,1.0,3933,123,2014-06-28T02:40:10Z,3906.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",huangz1990/redis-3.0-annotated,25.0,5937.0,8783.0,0.0,26.0,2022-05-26T08:27:51Z,https://github.com/huangz1990/redis-3.0-annotated,8783.0
4,1.0,550,65,2012-11-04T22:57:59Z,2200.0,1.0,MIT License,amueller/word_cloud,121.0,119731.0,8789.0,0.0,467.0,2022-05-26T01:20:22Z,https://github.com/amueller/word_cloud,8789.0
5,1.0,477,28,2011-11-29T09:59:56Z,4807.0,1.0,Apache License 2.0,chrisbanes/Android-PullToRefresh,30.0,4286.0,8771.0,0.0,0.0,2022-05-24T03:33:44Z,https://github.com/chrisbanes/Android-PullToRefresh,8771.0
6,1.0,456,62,2015-05-18T23:59:17Z,746.0,1.0,MIT License,remarkjs/react-markdown,2.0,2433.0,8786.0,5.0,537.0,2022-05-26T08:26:07Z,https://github.com/remarkjs/react-markdown,8786.0
7,1.0,6106,381,2011-02-27T15:18:22Z,1567.0,1.0,Other,mapeditor/tiled,537.0,77877.0,8781.0,15.0,2076.0,2022-05-26T08:49:41Z,https://github.com/mapeditor/tiled,8781.0
8,1.0,94,3,2019-02-25T10:09:30Z,2676.0,0.0,Not Found,londonappbrewery/Flutter-Course-Resources,43.0,68.0,8814.0,0.0,53.0,2022-05-26T07:22:10Z,https://github.com/londonappbrewery/Flutter-Course-Resources,8814.0
9,1.0,169,40,2016-03-16T01:56:50Z,699.0,0.0,Not Found,microsoft/vscode-tips-and-tricks,51.0,27569.0,8773.0,0.0,30.0,2022-05-25T22:35:33Z,https://github.com/microsoft/vscode-tips-and-tricks,8773.0
