,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,3306,31,2016-09-19T17:02:13Z,608.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",GetStream/Winds,0.0,61501.0,8608.0,19.0,313.0,2022-05-26T08:19:05Z,https://github.com/GetStream/Winds,8608.0
1,1.0,483,7,2012-12-21T00:14:20Z,476.0,1.0,GNU General Public License v3.0,rtyley/bfg-repo-cleaner,252.0,1971.0,8613.0,1.0,382.0,2022-05-24T15:34:14Z,https://github.com/rtyley/bfg-repo-cleaner,8613.0
2,1.0,1577,18,2019-05-22T04:18:58Z,1560.0,0.0,GNU General Public License v3.0,gedoor/legado,46.0,36181.0,8602.0,0.0,1043.0,2022-05-26T08:23:28Z,https://github.com/gedoor/legado,8602.0
3,1.0,10089,369,2013-03-07T14:45:24Z,1953.0,0.0,Other,mapbox/mapbox-gl-js,998.0,310413.0,8611.0,10.0,6990.0,2022-05-26T01:59:01Z,https://github.com/mapbox/mapbox-gl-js,8611.0
4,1.0,535,111,2009-02-16T03:19:48Z,717.0,0.0,MIT License,javan/whenever,88.0,522.0,8595.0,0.0,543.0,2022-05-23T11:39:59Z,https://github.com/javan/whenever,8595.0
5,1.0,25,5,2018-03-06T13:48:48Z,1803.0,0.0,MIT License,CodeTips/BaiduNetdiskPlugin-macOS,66.0,1324.0,8596.0,0.0,0.0,2022-05-24T11:16:13Z,https://github.com/CodeTips/BaiduNetdiskPlugin-macOS,8596.0
6,1.0,914,100,2018-02-28T21:36:16Z,1464.0,0.0,MIT License,keplergl/kepler.gl,440.0,22036.0,8590.0,5.0,952.0,2022-05-26T05:58:28Z,https://github.com/keplergl/kepler.gl,8590.0
7,1.0,429,39,2016-10-27T03:19:25Z,513.0,1.0,GNU General Public License v3.0,cs01/gdbgui,136.0,46716.0,8605.0,16.0,290.0,2022-05-26T08:22:37Z,https://github.com/cs01/gdbgui,8605.0
8,1.0,439,2,2019-11-25T06:55:31Z,4009.0,0.0,Apache License 2.0,macrozheng/mall-swarm,25.0,53216.0,8599.0,12.0,91.0,2022-05-26T06:52:16Z,https://github.com/macrozheng/mall-swarm,8599.0
9,1.0,6297,195,2011-10-30T23:45:22Z,1048.0,0.0,Other,mailpile/Mailpile,412.0,25747.0,8586.0,7.0,0.0,2022-05-26T03:05:46Z,https://github.com/mailpile/Mailpile,8586.0
10,1.0,3961,156,2013-11-06T06:16:00Z,488.0,1.0,MIT License,tree-sitter/tree-sitter,337.0,18829.0,8643.0,5.0,0.0,2022-05-26T08:11:26Z,https://github.com/tree-sitter/tree-sitter,8643.0
11,1.0,3317,38,2014-11-04T02:50:52Z,590.0,0.0,MIT License,captbaritone/webamp,130.0,75083.0,8581.0,6.0,0.0,2022-05-26T07:55:48Z,https://github.com/captbaritone/webamp,8581.0
12,1.0,9801,124,2013-09-11T11:52:41Z,1010.0,1.0,Not Found,OnsenUI/OnsenUI,153.0,192167.0,8579.0,15.0,0.0,2022-05-24T13:18:22Z,https://github.com/OnsenUI/OnsenUI,8579.0
13,1.0,10829,287,2012-09-13T11:34:43Z,6723.0,0.0,Apache License 2.0,Activiti/Activiti,463.0,121945.0,8576.0,9.0,0.0,2022-05-26T08:04:22Z,https://github.com/Activiti/Activiti,8576.0
14,1.0,207,23,2015-07-20T01:46:04Z,600.0,1.0,MIT License,Nickersoft/push.js,48.0,2384.0,8571.0,6.0,0.0,2022-05-24T18:56:02Z,https://github.com/Nickersoft/push.js,8571.0
15,1.0,391,21,2015-09-09T16:53:23Z,646.0,0.0,MIT License,cyrus-and/gdb-dashboard,12.0,377.0,8587.0,19.0,0.0,2022-05-25T21:55:04Z,https://github.com/cyrus-and/gdb-dashboard,8587.0
16,1.0,16,,2021-01-02T12:08:37Z,2751.0,0.0,Not Found,ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,8.0,9.0,8595.0,13.0,0.0,2022-05-26T08:23:53Z,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,8595.0
17,1.0,835,73,2010-05-28T14:24:20Z,1362.0,1.0,Other,tweenjs/tween.js,46.0,16510.0,8649.0,11.0,0.0,2022-05-25T23:21:50Z,https://github.com/tweenjs/tween.js,8649.0
18,1.0,2376,110,2015-11-03T21:08:40Z,1473.0,1.0,GNU Lesser General Public License v3.0,EpistasisLab/tpot,252.0,79027.0,8576.0,14.0,0.0,2022-05-26T03:41:03Z,https://github.com/EpistasisLab/tpot,8576.0
19,1.0,3490,74,2014-04-28T23:29:15Z,478.0,0.0,Apache License 2.0,questdb/questdb,210.0,415076.0,8570.0,18.0,0.0,2022-05-26T08:28:41Z,https://github.com/questdb/questdb,8570.0
20,1.0,1867,155,2010-09-29T17:31:21Z,1022.0,0.0,Not Found,Automattic/node-canvas,337.0,4380.0,8571.0,0.0,0.0,2022-05-26T07:36:05Z,https://github.com/Automattic/node-canvas,8571.0
21,1.0,1774,94,2020-08-14T06:46:00Z,1533.0,0.0,MIT License,microsoft/qlib,164.0,15632.0,8563.0,18.0,540.0,2022-05-26T07:43:02Z,https://github.com/microsoft/qlib,8563.0
22,1.0,840,239,2016-10-10T21:36:18Z,2188.0,0.0,Other,aws/serverless-application-model,245.0,10125.0,8555.0,8.0,1187.0,2022-05-25T08:45:24Z,https://github.com/aws/serverless-application-model,8555.0
23,1.0,2794,242,2013-07-05T18:52:38Z,1482.0,0.0,MIT License,Shopify/sarama,244.0,9734.0,8552.0,3.0,1105.0,2022-05-26T06:09:41Z,https://github.com/Shopify/sarama,8552.0
24,1.0,736,23,2016-10-26T19:51:32Z,593.0,0.0,MIT License,squeaky-pl/japronto,91.0,891.0,8553.0,0.0,145.0,2022-05-24T16:36:45Z,https://github.com/squeaky-pl/japronto,8553.0
25,1.0,1468,27,2017-12-07T04:23:04Z,240.0,0.0,MIT License,atom-archive/xray,22.0,3718.0,8538.0,0.0,64.0,2022-05-26T04:45:23Z,https://github.com/atom-archive/xray,8538.0
