,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,489,58,2014-03-14T22:34:35Z,578.0,0.0,MIT License,nginx-proxy/docker-gen,90.0,5097.0,4026.0,2.0,210.0,2022-05-28T08:11:16Z,https://github.com/nginx-proxy/docker-gen,4026.0
1,1.0,527,18,2018-08-20T11:10:27Z,428.0,0.0,Not Found,RikkaApps/Riru,1.0,1361.0,4019.0,2.0,260.0,2022-05-28T08:29:42Z,https://github.com/RikkaApps/Riru,4019.0
2,1.0,9358,345,2016-02-06T07:15:53Z,1770.0,1.0,Other,cosmos/cosmos-sdk,602.0,442242.0,3998.0,5.0,4836.0,2022-05-28T08:36:06Z,https://github.com/cosmos/cosmos-sdk,3998.0
3,1.0,2280,77,2014-05-22T12:00:10Z,748.0,1.0,MIT License,marmelab/ng-admin,112.0,72617.0,3991.0,5.0,785.0,2022-05-26T21:32:58Z,https://github.com/marmelab/ng-admin,3991.0
4,1.0,65,9,2016-10-04T03:44:11Z,810.0,0.0,Not Found,jcjohnson/fast-neural-style,136.0,19094.0,4046.0,0.0,169.0,2022-05-28T09:03:31Z,https://github.com/jcjohnson/fast-neural-style,4046.0
5,1.0,470,42,2011-04-15T08:47:32Z,1560.0,0.0,Other,manuelkiessling/nodebeginner.org,16.0,5973.0,3999.0,0.0,23.0,2022-05-15T16:25:35Z,https://github.com/manuelkiessling/nodebeginner.org,3999.0
6,1.0,332,41,2015-12-19T03:17:20Z,841.0,0.0,MIT License,lockfale/OSINT-Framework,89.0,1253.0,4013.0,6.0,115.0,2022-05-28T00:40:50Z,https://github.com/lockfale/OSINT-Framework,4013.0
7,1.0,27892,288,2014-12-17T18:16:59Z,1428.0,0.0,Other,mlpack/mlpack,66.0,264229.0,3999.0,8.0,1437.0,2022-05-27T10:00:58Z,https://github.com/mlpack/mlpack,3999.0
8,1.0,12614,762,2014-05-14T15:08:16Z,1176.0,1.0,Apache License 2.0,mesonbuild/meson,1855.0,44409.0,3999.0,0.0,4516.0,2022-05-28T08:14:52Z,https://github.com/mesonbuild/meson,3999.0
9,1.0,18,9,2016-03-28T22:36:28Z,175.0,0.0,Not Found,reactjs/react-basic,3.0,12.0,3999.0,0.0,2.0,2022-05-26T22:31:39Z,https://github.com/reactjs/react-basic,3999.0
