,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,129,27,2015-12-13T18:34:17Z,133.0,1.0,Not Found,bhrigu123/classifier,27.0,96.0,979.0,2.0,34.0,2022-05-06T06:28:48Z,https://github.com/bhrigu123/classifier,979.0
1,1.0,3416,12,2019-08-15T17:02:09Z,165.0,0.0,GNU General Public License v3.0,AIStream-Peelout/flow-forecast,90.0,4753.0,982.0,14.0,170.0,2022-05-09T08:20:41Z,https://github.com/AIStream-Peelout/flow-forecast,982.0
2,1.0,115,23,2016-03-05T16:54:27Z,82.0,0.0,MIT License,chubin/pyphoon,6.0,108.0,993.0,0.0,12.0,2022-05-06T22:04:41Z,https://github.com/chubin/pyphoon,993.0
3,1.0,35,3,2020-04-28T20:33:38Z,86.0,0.0,Not Found,justinpinkney/awesome-pretrained-stylegan2,12.0,207434.0,1012.0,0.0,21.0,2022-05-09T02:51:29Z,https://github.com/justinpinkney/awesome-pretrained-stylegan2,1012.0
4,1.0,344,24,2017-05-25T20:39:04Z,99.0,0.0,Apache License 2.0,Netflix/repokid,10.0,1020.0,983.0,2.0,31.0,2022-05-09T14:53:30Z,https://github.com/Netflix/repokid,983.0
5,1.0,366,23,2020-04-03T21:19:12Z,270.0,0.0,MIT License,alexgolec/tda-api,28.0,586.0,976.0,6.0,163.0,2022-05-09T05:31:58Z,https://github.com/alexgolec/tda-api,976.0
6,1.0,96,6,2020-07-19T02:55:07Z,206.0,0.0,GNU General Public License v3.0,xuan32546/IOS13-SimulateTouch,37.0,22073.0,1026.0,4.0,67.0,2022-05-07T10:16:06Z,https://github.com/xuan32546/IOS13-SimulateTouch,1026.0
7,1.0,367,3,2017-01-07T17:22:37Z,89.0,0.0,GNU Affero General Public License v3.0,glutanimate/review-heatmap,85.0,1077.0,1012.0,2.0,135.0,2022-05-09T10:04:18Z,https://github.com/glutanimate/review-heatmap,1012.0
8,1.0,755,21,2020-04-21T18:57:10Z,186.0,0.0,Other,quic/aimet,132.0,6178.0,975.0,11.0,590.0,2022-05-07T07:49:28Z,https://github.com/quic/aimet,975.0
9,1.0,777,75,2012-03-10T21:41:14Z,351.0,0.0,MIT License,pinax/django-user-accounts,65.0,983.0,989.0,0.0,180.0,2022-05-04T01:15:03Z,https://github.com/pinax/django-user-accounts,989.0
10,1.0,189,16,2020-09-02T13:24:50Z,181.0,0.0,GNU General Public License v3.0,Orange-Cyberdefense/arsenal,1.0,119243.0,1006.0,0.0,10.0,2022-05-09T07:39:28Z,https://github.com/Orange-Cyberdefense/arsenal,1006.0
11,1.0,11,3,2019-05-29T02:32:07Z,155.0,0.0,MIT License,clovaai/CutMix-PyTorch,5.0,203.0,994.0,5.0,42.0,2022-05-09T09:26:44Z,https://github.com/clovaai/CutMix-PyTorch,994.0
12,1.0,703,3,2019-01-30T11:15:17Z,47.0,0.0,MIT License,alan-turing-institute/CleverCSV,7.0,2403.0,976.0,18.0,25.0,2022-05-07T05:16:52Z,https://github.com/alan-turing-institute/CleverCSV,976.0
13,1.0,237,3,2019-12-15T07:28:16Z,142.0,1.0,MIT License,AdrMXR/KitHack,9.0,53371.0,975.0,16.0,19.0,2022-05-09T09:44:10Z,https://github.com/AdrMXR/KitHack,975.0
14,1.0,3090,116,2020-05-13T11:28:52Z,207.0,0.0,Apache License 2.0,coreruleset/coreruleset,62.0,4347.0,993.0,3.0,2103.0,2022-05-09T13:01:10Z,https://github.com/coreruleset/coreruleset,993.0
15,1.0,1140,16,2017-05-24T11:45:27Z,309.0,0.0,Other,shivasiddharth/GassistPi,32.0,20951.0,978.0,14.0,963.0,2022-05-03T05:40:00Z,https://github.com/shivasiddharth/GassistPi,978.0
16,1.0,918,20,2019-03-26T13:43:32Z,91.0,0.0,MIT License,zalando-incubator/kopf,71.0,1690.0,974.0,8.0,190.0,2022-04-21T07:17:51Z,https://github.com/zalando-incubator/kopf,974.0
17,1.0,61,14,2011-04-19T10:56:21Z,216.0,0.0,Other,serverdensity/python-daemon,12.0,73.0,974.0,0.0,17.0,2022-05-02T14:58:33Z,https://github.com/serverdensity/python-daemon,974.0
18,1.0,338,38,2014-05-06T17:51:05Z,264.0,1.0,GNU Affero General Public License v3.0,drcoms/drcom-generic,43.0,1847.0,983.0,0.0,322.0,2022-05-05T12:48:16Z,https://github.com/drcoms/drcom-generic,983.0
19,1.0,30,3,2019-10-24T09:46:33Z,252.0,0.0,GNU General Public License v3.0,Qianlitp/WatchAD,21.0,475.0,980.0,10.0,41.0,2022-05-06T13:32:35Z,https://github.com/Qianlitp/WatchAD,980.0
20,1.0,56,2,2017-09-10T05:58:15Z,176.0,0.0,Not Found,sniklaus/sepconv-slomo,2.0,14878.0,975.0,5.0,51.0,2022-04-25T03:30:28Z,https://github.com/sniklaus/sepconv-slomo,975.0
21,1.0,1261,53,2013-03-20T13:04:04Z,365.0,1.0,GNU General Public License v2.0,mushorg/conpot,103.0,2991.0,984.0,6.0,372.0,2022-05-08T17:12:20Z,https://github.com/mushorg/conpot,984.0
22,1.0,1883,47,2016-11-15T00:29:01Z,191.0,1.0,Apache License 2.0,aws-ia/taskcat,37.0,7823.0,975.0,5.0,311.0,2022-05-05T00:23:20Z,https://github.com/aws-ia/taskcat,975.0
23,1.0,44,2,2022-02-14T01:16:47Z,165.0,0.0,Not Found,4ra1n/JavaSecInterview,2.0,47.0,991.0,4.0,3.0,2022-05-09T13:17:15Z,https://github.com/4ra1n/JavaSecInterview,991.0
24,1.0,302,120,2018-10-02T18:06:52Z,453.0,0.0,MIT License,hastagAB/Awesome-Python-Scripts,24.0,9863.0,1006.0,1.0,14.0,2022-05-08T16:38:03Z,https://github.com/hastagAB/Awesome-Python-Scripts,1006.0
25,1.0,16,2,2019-04-07T15:48:49Z,260.0,0.0,Not Found,yuanxiaosc/Entity-Relation-Extraction,8.0,6109.0,986.0,6.0,76.0,2022-05-05T09:40:40Z,https://github.com/yuanxiaosc/Entity-Relation-Extraction,986.0
26,1.0,95,3,2016-02-10T17:13:13Z,482.0,0.0,Other,xpleaf/Blog_mini,23.0,2233.0,970.0,0.0,43.0,2022-04-25T09:30:06Z,https://github.com/xpleaf/Blog_mini,970.0
27,1.0,709,10,2011-11-16T18:16:08Z,44.0,0.0,MIT License,hayaku/hayaku,110.0,737.0,969.0,6.0,289.0,2022-05-05T21:52:29Z,https://github.com/hayaku/hayaku,969.0
28,1.0,666,39,2014-02-19T23:57:57Z,287.0,0.0,MIT License,lingthio/Flask-User,125.0,2948.0,975.0,0.0,222.0,2022-05-08T00:21:22Z,https://github.com/lingthio/Flask-User,975.0
29,1.0,216,8,2018-02-27T08:34:40Z,162.0,0.0,GNU General Public License v3.0,FeeiCN/ESD,7.0,4980.0,972.0,5.0,0.0,2022-05-05T06:04:33Z,https://github.com/FeeiCN/ESD,972.0
