,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,66,2,2018-09-30T19:11:44Z,474.0,0.0,GNU General Public License v3.0,my8100/scrapydweb,50.0,3481.0,2485.0,18.0,162.0,2022-05-08T14:23:18Z,https://github.com/my8100/scrapydweb,2485.0
1,1.0,663,14,2017-11-21T09:01:44Z,933.0,0.0,Apache License 2.0,open-mmlab/mmskeleton,182.0,95585.0,2485.0,5.0,426.0,2022-05-09T07:30:41Z,https://github.com/open-mmlab/mmskeleton,2485.0
2,1.0,73,13,2019-08-01T00:54:02Z,342.0,0.0,Apache License 2.0,LiyuanLucasLiu/RAdam,13.0,955.0,2456.0,4.0,49.0,2022-05-07T11:40:18Z,https://github.com/LiyuanLucasLiu/RAdam,2456.0
3,1.0,13,5,2017-03-28T13:24:38Z,459.0,0.0,Apache License 2.0,deepmind/dnc,9.0,73.0,2455.0,0.0,36.0,2022-05-05T08:14:19Z,https://github.com/deepmind/dnc,2455.0
4,1.0,236,16,2017-03-20T20:48:54Z,1047.0,0.0,MIT License,divamgupta/image-segmentation-keras,159.0,3374.0,2458.0,0.0,323.0,2022-05-09T10:20:40Z,https://github.com/divamgupta/image-segmentation-keras,2458.0
5,1.0,187,8,2018-05-13T17:05:21Z,364.0,0.0,MIT License,evyatarmeged/Raccoon,12.0,910.0,2463.0,15.0,30.0,2022-05-08T20:42:57Z,https://github.com/evyatarmeged/Raccoon,2463.0
6,1.0,1018,71,2011-09-23T10:17:50Z,400.0,0.0,GNU Lesser General Public License v3.0,Kozea/pygal,180.0,7924.0,2465.0,0.0,401.0,2022-05-08T14:39:53Z,https://github.com/Kozea/pygal,2465.0
7,1.0,491,41,2011-06-24T00:09:55Z,208.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",pallets/itsdangerous,0.0,513.0,2454.0,6.0,106.0,2022-05-09T06:31:48Z,https://github.com/pallets/itsdangerous,2454.0
8,1.0,45,9,2017-10-30T09:18:29Z,677.0,0.0,MIT License,XifengGuo/CapsNet-Keras,25.0,1090.0,2447.0,6.0,120.0,2022-05-05T04:34:28Z,https://github.com/XifengGuo/CapsNet-Keras,2447.0
9,1.0,317,76,2017-01-12T23:50:10Z,272.0,0.0,MIT License,palantir/python-language-server,179.0,1056.0,2460.0,1.0,514.0,2022-05-09T10:01:42Z,https://github.com/palantir/python-language-server,2460.0
