,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,45,7,2016-09-18T10:26:04Z,718.0,0.0,Not Found,LantaoYu/SeqGAN,34.0,4215.0,1989.0,0.0,65.0,2022-05-08T09:58:05Z,https://github.com/LantaoYu/SeqGAN,1989.0
1,1.0,2216,161,2014-09-13T17:06:24Z,202.0,0.0,Other,PyCQA/flake8,27.0,3306.0,2007.0,13.0,1375.0,2022-05-09T16:47:29Z,https://github.com/PyCQA/flake8,2007.0
2,1.0,308,54,2018-04-02T12:49:31Z,147.0,0.0,MIT License,erpalma/throttled,99.0,597.0,2013.0,12.0,228.0,2022-05-09T16:49:18Z,https://github.com/erpalma/throttled,2013.0
3,1.0,1635,50,2020-07-11T07:19:10Z,653.0,0.0,Apache License 2.0,open-mmlab/mmaction2,54.0,62659.0,1986.0,17.0,777.0,2022-05-08T13:56:07Z,https://github.com/open-mmlab/mmaction2,1986.0
4,1.0,271,26,2014-06-30T02:07:45Z,314.0,0.0,GNU General Public License v3.0,aboSamoor/polyglot,153.0,428.0,1993.0,0.0,208.0,2022-05-09T02:31:45Z,https://github.com/aboSamoor/polyglot,1993.0
5,1.0,1409,89,2012-08-05T11:42:33Z,512.0,0.0,Other,jupyter/nbviewer,165.0,12177.0,1989.0,3.0,561.0,2022-05-08T20:45:10Z,https://github.com/jupyter/nbviewer,1989.0
6,1.0,1028,89,2013-08-13T15:55:58Z,157.0,0.0,Other,hynek/structlog,29.0,2303.0,1990.0,3.0,219.0,2022-05-09T16:35:14Z,https://github.com/hynek/structlog,1990.0
7,1.0,18,2,2014-12-04T03:33:02Z,841.0,0.0,Not Found,yoonkim/CNN_sentence,42.0,506.0,1981.0,0.0,47.0,2022-05-06T20:40:26Z,https://github.com/yoonkim/CNN_sentence,1981.0
8,1.0,33,4,2017-04-11T16:22:11Z,607.0,0.0,Other,mrharicot/monodepth,55.0,922.0,2004.0,0.0,250.0,2022-05-09T09:07:42Z,https://github.com/mrharicot/monodepth,2004.0
9,1.0,8223,255,2008-11-07T06:08:58Z,868.0,0.0,Other,web2py/web2py,354.0,42506.0,1989.0,0.0,1036.0,2022-04-30T06:39:12Z,https://github.com/web2py/web2py,1989.0
10,1.0,334,64,2010-05-31T14:03:48Z,271.0,0.0,MIT License,viewflow/django-fsm,22.0,398.0,1991.0,6.0,149.0,2022-05-07T20:23:03Z,https://github.com/viewflow/django-fsm,1991.0
11,1.0,14754,38,2013-07-31T21:57:20Z,281.0,0.0,Other,Komodo/KomodoEdit,1199.0,501366.0,1984.0,20.0,3746.0,2022-05-06T02:54:26Z,https://github.com/Komodo/KomodoEdit,1984.0
12,1.0,1980,29,2019-07-12T03:18:05Z,429.0,0.0,Other,AI4Finance-Foundation/ElegantRL,32.0,107262.0,1990.0,17.0,103.0,2022-05-09T13:33:45Z,https://github.com/AI4Finance-Foundation/ElegantRL,1990.0
13,1.0,608,59,2013-08-08T11:02:06Z,120.0,0.0,MIT License,evansd/whitenoise,23.0,653.0,1982.0,0.0,213.0,2022-05-09T19:31:09Z,https://github.com/evansd/whitenoise,1982.0
14,1.0,819,48,2019-04-15T11:17:06Z,342.0,0.0,MIT License,explosion/spacy-course,11.0,9418.0,2024.0,14.0,39.0,2022-05-06T03:13:56Z,https://github.com/explosion/spacy-course,2024.0
15,1.0,21,6,2017-02-27T09:26:06Z,607.0,0.0,MIT License,meijieru/crnn.pytorch,101.0,36.0,2018.0,3.0,236.0,2022-05-09T07:33:44Z,https://github.com/meijieru/crnn.pytorch,2018.0
