,name,url,star_count,license,contributor_count,size,watchers_count,forks,github_pages,open_issues,topics_count,created_at,updated_at,allow_forking,licence
129,deepmind/sonnet,https://github.com/deepmind/sonnet,9246,Apache License 2.0,30,16717,9246,1322,True,28,5,2017-04-03T11:34:35Z,2022-04-07T09:11:27Z,True,
130,darknessomi/musicbox,https://github.com/darknessomi/musicbox,9260,MIT License,30,1869,9260,1590,False,228,4,2014-08-05T03:28:24Z,2022-04-07T10:22:11Z,True,
131,cookiecutter/cookiecutter-django,https://github.com/cookiecutter/cookiecutter-django,9231,"BSD 3-Clause ""New"" or ""Revised"" License",30,6682,9231,2391,False,118,10,2013-08-14T17:43:31Z,2022-04-07T08:21:47Z,True,
132,programthink/zhao,https://github.com/programthink/zhao,9258,GNU General Public License v3.0,1,72400,9258,2399,False,302,0,2016-02-28T15:38:57Z,2022-04-07T08:56:56Z,True,
133,tgbot-collection/YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,9775,MIT License,5,16132,9775,1432,False,6,6,2019-08-15T07:50:56Z,2022-04-07T14:42:54Z,True,
134,wilsonfreitas/awesome-quant,https://github.com/wilsonfreitas/awesome-quant,9173,,30,747,9173,1633,False,3,20,2015-09-30T09:53:49Z,2022-04-07T10:50:53Z,True,Not Found
135,Zulko/moviepy,https://github.com/Zulko/moviepy,9111,MIT License,30,41593,9111,1234,True,281,7,2013-08-12T09:39:28Z,2022-04-07T11:40:56Z,True,
136,coleifer/peewee,https://github.com/coleifer/peewee,9060,MIT License,30,15915,9060,1333,False,1,5,2010-10-11T20:14:11Z,2022-04-07T09:30:49Z,True,
137,jindongwang/transferlearning,https://github.com/jindongwang/transferlearning,9066,MIT License,30,37265,9066,3177,True,3,20,2017-04-30T11:32:21Z,2022-04-07T13:47:34Z,True,
138,fossasia/visdom,https://github.com/fossasia/visdom,9066,Apache License 2.0,30,29752,9066,1091,False,97,0,2017-01-25T17:59:45Z,2022-04-06T09:02:29Z,True,
139,sympy/sympy,https://github.com/sympy/sympy,9029,Other,30,153352,9029,3634,False,4412,5,2010-04-30T20:37:14Z,2022-04-07T13:48:08Z,True,
140,pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,9032,Other,30,51104,9032,1781,False,316,8,2011-11-23T11:05:56Z,2022-04-07T11:44:56Z,True,
141,Textualize/textual,https://github.com/Textualize/textual,9011,MIT License,29,4149,9011,238,False,58,4,2021-04-08T15:24:47Z,2022-04-07T13:25:52Z,True,
142,harelba/q,https://github.com/harelba/q,8982,GNU General Public License v3.0,20,3189,8982,383,True,89,13,2012-01-30T21:12:09Z,2022-04-06T22:26:10Z,True,
143,apenwarr/sshuttle,https://github.com/apenwarr/sshuttle,8960,Other,29,1143,8960,662,False,21,0,2010-05-02T06:50:16Z,2022-04-06T17:11:23Z,True,
144,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,https://github.com/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,8903,,30,1236,8903,698,False,226,2,2018-11-08T04:09:47Z,2022-04-07T05:49:25Z,True,Not Found
145,thumbor/thumbor,https://github.com/thumbor/thumbor,8895,MIT License,30,51637,8895,760,False,11,0,2011-03-16T17:30:05Z,2022-04-07T12:54:33Z,True,
146,rushter/MLAlgorithms,https://github.com/rushter/MLAlgorithms,8878,MIT License,25,11924,8878,1566,False,8,5,2016-10-05T06:46:45Z,2022-04-07T14:06:21Z,True,
147,Gallopsled/pwntools,https://github.com/Gallopsled/pwntools,8881,Other,30,27282,8881,1496,False,151,19,2013-04-29T14:43:03Z,2022-04-07T11:46:40Z,True,
148,bbfamily/abu,https://github.com/bbfamily/abu,8899,GNU General Public License v3.0,2,98941,8899,3189,False,2,11,2016-09-19T15:31:53Z,2022-04-07T11:53:27Z,True,
149,sfyc23/EverydayWechat,https://github.com/sfyc23/EverydayWechat,8852,MIT License,13,359,8852,2140,False,19,10,2019-03-11T17:38:45Z,2022-04-07T10:03:11Z,True,
150,x-hw/amazing-qr,https://github.com/x-hw/amazing-qr,8915,GNU General Public License v3.0,4,8228,8915,1443,False,52,6,2016-08-25T12:51:42Z,2022-04-07T12:29:07Z,True,
151,Dod-o/Statistical-Learning-Method_Code,https://github.com/Dod-o/Statistical-Learning-Method_Code,8820,,3,51516,8820,2606,False,14,3,2018-11-15T15:33:17Z,2022-04-07T10:49:33Z,True,Not Found
152,OWASP/owasp-mstg,https://github.com/OWASP/owasp-mstg,8812,Creative Commons Attribution Share Alike 4.0 International,30,383409,8812,1883,False,124,18,2016-09-30T08:22:29Z,2022-04-07T04:16:11Z,True,
153,facebookresearch/maskrcnn-benchmark,https://github.com/facebookresearch/maskrcnn-benchmark,8803,MIT License,30,6842,8803,2518,False,522,0,2018-10-24T17:34:50Z,2022-04-06T09:03:43Z,True,
154,facebook/chisel,https://github.com/facebook/chisel,8770,MIT License,30,3522,8770,787,False,44,0,2014-02-21T18:24:17Z,2022-04-06T10:42:17Z,True,
155,aws/chalice,https://github.com/aws/chalice,8789,Apache License 2.0,30,9798,8789,914,True,374,10,2016-05-27T23:27:13Z,2022-04-07T13:48:51Z,True,
156,falconry/falcon,https://github.com/falconry/falcon,8737,Apache License 2.0,30,6945,8737,871,False,171,10,2012-12-06T18:17:51Z,2022-04-07T14:08:38Z,True,
157,coursera-dl/coursera-dl,https://github.com/coursera-dl/coursera-dl,8725,GNU Lesser General Public License v3.0,30,1808,8725,2084,True,177,9,2012-03-21T21:07:15Z,2022-04-07T05:49:47Z,True,
158,facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,8720,MIT License,30,95410,8720,1820,False,93,0,2017-04-24T17:10:44Z,2022-04-07T06:59:45Z,True,
159,PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,8682,Apache License 2.0,30,76333,8682,850,False,478,12,2018-06-29T21:59:26Z,2022-04-07T11:49:40Z,True,
160,amueller/word_cloud,https://github.com/amueller/word_cloud,8691,MIT License,30,119762,8691,2188,True,114,0,2012-11-04T22:57:59Z,2022-04-07T10:13:17Z,True,
