,name,url,star_count,license,contributor_count,size,watchers_count,forks,github_pages,open_issues,topics_count,created_at,updated_at,allow_forking,total_issue_count,commit_count,licence
86,giampaolo/psutil,https://github.com/giampaolo/psutil,8332,"BSD 3-Clause ""New"" or ""Revised"" License",178,35568,8332,1242,False,241,16,2014-05-23T14:01:48Z,2022-04-28T03:10:24Z,True,1529,5769,
87,NVIDIA/DeepLearningExamples,https://github.com/NVIDIA/DeepLearningExamples,8284,,100,90198,8284,2296,False,127,0,2018-05-02T17:04:05Z,2022-04-28T07:34:09Z,True,0,1120,Not Found
88,benoitc/gunicorn,https://github.com/benoitc/gunicorn,8276,Other,368,4363,8276,1553,True,444,5,2009-11-30T18:18:08Z,2022-04-28T09:36:22Z,True,1798,2901,
89,borgbackup/borg,https://github.com/borgbackup/borg,8245,Other,266,22804,8245,626,False,591,11,2015-05-12T23:10:47Z,2022-04-27T22:58:38Z,True,3434,6786,
90,rq/rq,https://github.com/rq/rq,8261,Other,256,3716,8261,1287,True,193,11,2011-11-14T10:53:48Z,2022-04-28T05:58:04Z,True,953,1628,
91,MrS0m30n3/youtube-dl-gui,https://github.com/MrS0m30n3/youtube-dl-gui,8225,The Unlicense,23,2329,8225,1497,True,190,14,2014-03-01T17:11:10Z,2022-04-27T18:35:19Z,True,429,796,
92,ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,8209,Apache License 2.0,117,23981,8209,981,False,204,17,2018-12-27T23:58:12Z,2022-04-28T07:53:33Z,True,702,2544,
93,clips/pattern,https://github.com/clips/pattern,8202,"BSD 3-Clause ""New"" or ""Revised"" License",30,52330,8202,1585,False,172,7,2011-05-03T15:29:01Z,2022-04-28T09:03:15Z,True,202,1434,
94,spotDL/spotify-downloader,https://github.com/spotDL/spotify-downloader,8292,MIT License,87,57979,8292,1021,False,6,10,2016-07-06T18:19:20Z,2022-04-28T09:44:24Z,True,989,1327,
95,Yorko/mlcourse.ai,https://github.com/Yorko/mlcourse.ai,8188,Other,3,398527,8188,5421,True,3,17,2017-02-27T08:32:20Z,2022-04-28T02:49:33Z,True,95,40,
96,rougier/numpy-100,https://github.com/rougier/numpy-100,8179,MIT License,48,499,8179,4328,False,39,5,2014-05-27T04:09:47Z,2022-04-28T07:59:56Z,True,63,273,
97,deepmind/alphafold,https://github.com/deepmind/alphafold,8194,Apache License 2.0,12,5953,8194,1349,False,91,0,2021-06-17T14:06:06Z,2022-04-28T09:25:00Z,True,401,51,
98,30-seconds/30-seconds-of-python,https://github.com/30-seconds/30-seconds-of-python,8181,Creative Commons Attribution 4.0 International,77,68456,8181,1238,False,2,8,2018-01-08T12:17:16Z,2022-04-28T06:01:33Z,True,77,1645,
99,ReFirmLabs/binwalk,https://github.com/ReFirmLabs/binwalk,8178,MIT License,80,45199,8178,1262,False,144,0,2013-11-15T20:45:40Z,2022-04-27T21:22:26Z,True,381,1233,
